step,tag,value,run
30800,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
30850,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
30900,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
30950,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31000,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31050,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31100,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31150,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31200,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31250,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31300,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31350,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31400,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31450,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31500,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31550,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31600,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31650,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31700,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31750,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31800,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31850,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31900,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
31950,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32000,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32032,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32082,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32132,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32182,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32232,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32282,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32332,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32382,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32432,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32482,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32532,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32582,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32632,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32682,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32732,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32782,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32832,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32882,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32932,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
32982,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33032,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33082,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33132,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33182,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33232,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33264,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33314,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33364,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33414,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33464,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33514,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33564,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33614,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33664,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33714,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33764,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33814,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33864,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33914,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
33964,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34014,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34064,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34114,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34164,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34214,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34264,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34314,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34364,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34414,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34464,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34496,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34546,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34596,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34646,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34696,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34746,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34796,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34846,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34896,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34946,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
34996,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35046,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35096,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35146,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35196,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35246,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35296,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35346,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35396,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35446,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35496,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35546,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35596,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35646,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35696,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35728,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35778,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35828,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35878,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35928,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
35978,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36028,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36078,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36128,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36178,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36228,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36278,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36328,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36378,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36428,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36478,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36528,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36578,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36628,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36678,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36728,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36778,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36828,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36878,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36928,Grad_Norm_Pre/Backbone,0.0,ver_2-10_Phase-2
36960,Grad_Norm_Pre/Backbone,,ver_2-10_Phase-2
37010,Grad_Norm_Pre/Backbone,13.661273956298828,ver_2-10_Phase-2
37060,Grad_Norm_Pre/Backbone,15.233280181884766,ver_2-10_Phase-2
37110,Grad_Norm_Pre/Backbone,20.715255737304688,ver_2-10_Phase-2
37160,Grad_Norm_Pre/Backbone,16.739675521850586,ver_2-10_Phase-2
37210,Grad_Norm_Pre/Backbone,44.83970642089844,ver_2-10_Phase-2
37260,Grad_Norm_Pre/Backbone,27.809782028198242,ver_2-10_Phase-2
37310,Grad_Norm_Pre/Backbone,12.582791328430176,ver_2-10_Phase-2
37360,Grad_Norm_Pre/Backbone,36.093910217285156,ver_2-10_Phase-2
37410,Grad_Norm_Pre/Backbone,21.91024398803711,ver_2-10_Phase-2
37460,Grad_Norm_Pre/Backbone,18.63524627685547,ver_2-10_Phase-2
37510,Grad_Norm_Pre/Backbone,15.094335556030273,ver_2-10_Phase-2
37560,Grad_Norm_Pre/Backbone,10.105693817138672,ver_2-10_Phase-2
37610,Grad_Norm_Pre/Backbone,47.07275390625,ver_2-10_Phase-2
37660,Grad_Norm_Pre/Backbone,33.816532135009766,ver_2-10_Phase-2
37710,Grad_Norm_Pre/Backbone,22.01136589050293,ver_2-10_Phase-2
37760,Grad_Norm_Pre/Backbone,12.274866104125977,ver_2-10_Phase-2
37810,Grad_Norm_Pre/Backbone,14.690082550048828,ver_2-10_Phase-2
37860,Grad_Norm_Pre/Backbone,17.18332862854004,ver_2-10_Phase-2
37910,Grad_Norm_Pre/Backbone,12.447175025939941,ver_2-10_Phase-2
37960,Grad_Norm_Pre/Backbone,9.287854194641113,ver_2-10_Phase-2
38010,Grad_Norm_Pre/Backbone,11.89103889465332,ver_2-10_Phase-2
38060,Grad_Norm_Pre/Backbone,19.807771682739258,ver_2-10_Phase-2
38110,Grad_Norm_Pre/Backbone,17.592004776000977,ver_2-10_Phase-2
38160,Grad_Norm_Pre/Backbone,21.027881622314453,ver_2-10_Phase-2
38192,Grad_Norm_Pre/Backbone,20.52515983581543,ver_2-10_Phase-2
38242,Grad_Norm_Pre/Backbone,12.004855155944824,ver_2-10_Phase-2
38292,Grad_Norm_Pre/Backbone,15.70776081085205,ver_2-10_Phase-2
38342,Grad_Norm_Pre/Backbone,12.615865707397461,ver_2-10_Phase-2
38392,Grad_Norm_Pre/Backbone,27.8207950592041,ver_2-10_Phase-2
38442,Grad_Norm_Pre/Backbone,25.86903190612793,ver_2-10_Phase-2
38492,Grad_Norm_Pre/Backbone,35.51057052612305,ver_2-10_Phase-2
38542,Grad_Norm_Pre/Backbone,16.322330474853516,ver_2-10_Phase-2
38592,Grad_Norm_Pre/Backbone,29.03520393371582,ver_2-10_Phase-2
38642,Grad_Norm_Pre/Backbone,27.881956100463867,ver_2-10_Phase-2
38692,Grad_Norm_Pre/Backbone,7.021315097808838,ver_2-10_Phase-2
38742,Grad_Norm_Pre/Backbone,20.51349449157715,ver_2-10_Phase-2
38792,Grad_Norm_Pre/Backbone,20.579612731933594,ver_2-10_Phase-2
38842,Grad_Norm_Pre/Backbone,19.494003295898438,ver_2-10_Phase-2
38892,Grad_Norm_Pre/Backbone,20.739154815673828,ver_2-10_Phase-2
38942,Grad_Norm_Pre/Backbone,32.28240966796875,ver_2-10_Phase-2
38992,Grad_Norm_Pre/Backbone,8.820679664611816,ver_2-10_Phase-2
39042,Grad_Norm_Pre/Backbone,16.104089736938477,ver_2-10_Phase-2
39092,Grad_Norm_Pre/Backbone,26.714927673339844,ver_2-10_Phase-2
39142,Grad_Norm_Pre/Backbone,10.047110557556152,ver_2-10_Phase-2
39192,Grad_Norm_Pre/Backbone,18.004457473754883,ver_2-10_Phase-2
39242,Grad_Norm_Pre/Backbone,17.10665512084961,ver_2-10_Phase-2
39292,Grad_Norm_Pre/Backbone,19.90497398376465,ver_2-10_Phase-2
39342,Grad_Norm_Pre/Backbone,29.551807403564453,ver_2-10_Phase-2
39392,Grad_Norm_Pre/Backbone,22.748245239257812,ver_2-10_Phase-2
39424,Grad_Norm_Pre/Backbone,16.571102142333984,ver_2-10_Phase-2
39474,Grad_Norm_Pre/Backbone,7.898147106170654,ver_2-10_Phase-2
39524,Grad_Norm_Pre/Backbone,9.857827186584473,ver_2-10_Phase-2
39574,Grad_Norm_Pre/Backbone,45.905067443847656,ver_2-10_Phase-2
39624,Grad_Norm_Pre/Backbone,36.971797943115234,ver_2-10_Phase-2
39674,Grad_Norm_Pre/Backbone,17.861940383911133,ver_2-10_Phase-2
39724,Grad_Norm_Pre/Backbone,7.931001663208008,ver_2-10_Phase-2
39774,Grad_Norm_Pre/Backbone,38.71636199951172,ver_2-10_Phase-2
39824,Grad_Norm_Pre/Backbone,9.914482116699219,ver_2-10_Phase-2
39874,Grad_Norm_Pre/Backbone,26.661863327026367,ver_2-10_Phase-2
39924,Grad_Norm_Pre/Backbone,27.32612419128418,ver_2-10_Phase-2
39974,Grad_Norm_Pre/Backbone,30.421375274658203,ver_2-10_Phase-2
40024,Grad_Norm_Pre/Backbone,19.691892623901367,ver_2-10_Phase-2
40074,Grad_Norm_Pre/Backbone,10.558889389038086,ver_2-10_Phase-2
40124,Grad_Norm_Pre/Backbone,12.265095710754395,ver_2-10_Phase-2
40174,Grad_Norm_Pre/Backbone,49.07644271850586,ver_2-10_Phase-2
40224,Grad_Norm_Pre/Backbone,17.217084884643555,ver_2-10_Phase-2
40274,Grad_Norm_Pre/Backbone,18.307527542114258,ver_2-10_Phase-2
40324,Grad_Norm_Pre/Backbone,12.162333488464355,ver_2-10_Phase-2
40374,Grad_Norm_Pre/Backbone,11.229796409606934,ver_2-10_Phase-2
40424,Grad_Norm_Pre/Backbone,14.571045875549316,ver_2-10_Phase-2
40474,Grad_Norm_Pre/Backbone,12.550909996032715,ver_2-10_Phase-2
40524,Grad_Norm_Pre/Backbone,23.34107780456543,ver_2-10_Phase-2
40574,Grad_Norm_Pre/Backbone,23.632740020751953,ver_2-10_Phase-2
40624,Grad_Norm_Pre/Backbone,28.669307708740234,ver_2-10_Phase-2
40656,Grad_Norm_Pre/Backbone,27.895015716552734,ver_2-10_Phase-2
40706,Grad_Norm_Pre/Backbone,12.251203536987305,ver_2-10_Phase-2
40756,Grad_Norm_Pre/Backbone,14.12673282623291,ver_2-10_Phase-2
40806,Grad_Norm_Pre/Backbone,15.617852210998535,ver_2-10_Phase-2
40856,Grad_Norm_Pre/Backbone,10.289859771728516,ver_2-10_Phase-2
40906,Grad_Norm_Pre/Backbone,23.241670608520508,ver_2-10_Phase-2
40956,Grad_Norm_Pre/Backbone,33.96104431152344,ver_2-10_Phase-2
41006,Grad_Norm_Pre/Backbone,20.32969093322754,ver_2-10_Phase-2
41056,Grad_Norm_Pre/Backbone,33.07345199584961,ver_2-10_Phase-2
41106,Grad_Norm_Pre/Backbone,11.29004192352295,ver_2-10_Phase-2
41156,Grad_Norm_Pre/Backbone,39.94404983520508,ver_2-10_Phase-2
41206,Grad_Norm_Pre/Backbone,14.310897827148438,ver_2-10_Phase-2
41256,Grad_Norm_Pre/Backbone,23.463489532470703,ver_2-10_Phase-2
41306,Grad_Norm_Pre/Backbone,7.697841644287109,ver_2-10_Phase-2
41356,Grad_Norm_Pre/Backbone,14.772636413574219,ver_2-10_Phase-2
41406,Grad_Norm_Pre/Backbone,13.25880241394043,ver_2-10_Phase-2
41456,Grad_Norm_Pre/Backbone,19.49525260925293,ver_2-10_Phase-2
41506,Grad_Norm_Pre/Backbone,10.847131729125977,ver_2-10_Phase-2
41556,Grad_Norm_Pre/Backbone,27.419965744018555,ver_2-10_Phase-2
41606,Grad_Norm_Pre/Backbone,27.92530632019043,ver_2-10_Phase-2
41656,Grad_Norm_Pre/Backbone,9.766958236694336,ver_2-10_Phase-2
41706,Grad_Norm_Pre/Backbone,13.7196626663208,ver_2-10_Phase-2
41756,Grad_Norm_Pre/Backbone,18.4354190826416,ver_2-10_Phase-2
41806,Grad_Norm_Pre/Backbone,12.973342895507812,ver_2-10_Phase-2
41856,Grad_Norm_Pre/Backbone,28.930150985717773,ver_2-10_Phase-2
41888,Grad_Norm_Pre/Backbone,73.61254119873047,ver_2-10_Phase-2
41938,Grad_Norm_Pre/Backbone,22.44287109375,ver_2-10_Phase-2
41988,Grad_Norm_Pre/Backbone,37.1440315246582,ver_2-10_Phase-2
42038,Grad_Norm_Pre/Backbone,49.84888458251953,ver_2-10_Phase-2
42088,Grad_Norm_Pre/Backbone,32.13022994995117,ver_2-10_Phase-2
42138,Grad_Norm_Pre/Backbone,8.38548469543457,ver_2-10_Phase-2
42188,Grad_Norm_Pre/Backbone,23.233076095581055,ver_2-10_Phase-2
42238,Grad_Norm_Pre/Backbone,28.05597686767578,ver_2-10_Phase-2
42288,Grad_Norm_Pre/Backbone,8.14470386505127,ver_2-10_Phase-2
42338,Grad_Norm_Pre/Backbone,15.033368110656738,ver_2-10_Phase-2
42388,Grad_Norm_Pre/Backbone,13.679476737976074,ver_2-10_Phase-2
42438,Grad_Norm_Pre/Backbone,17.967735290527344,ver_2-10_Phase-2
42488,Grad_Norm_Pre/Backbone,14.45208740234375,ver_2-10_Phase-2
42538,Grad_Norm_Pre/Backbone,11.813140869140625,ver_2-10_Phase-2
42588,Grad_Norm_Pre/Backbone,27.320531845092773,ver_2-10_Phase-2
42638,Grad_Norm_Pre/Backbone,17.236753463745117,ver_2-10_Phase-2
42688,Grad_Norm_Pre/Backbone,22.43199920654297,ver_2-10_Phase-2
42738,Grad_Norm_Pre/Backbone,10.253687858581543,ver_2-10_Phase-2
42788,Grad_Norm_Pre/Backbone,12.236205101013184,ver_2-10_Phase-2
42838,Grad_Norm_Pre/Backbone,22.742979049682617,ver_2-10_Phase-2
42888,Grad_Norm_Pre/Backbone,10.322032928466797,ver_2-10_Phase-2
42938,Grad_Norm_Pre/Backbone,25.502857208251953,ver_2-10_Phase-2
42988,Grad_Norm_Pre/Backbone,15.928213119506836,ver_2-10_Phase-2
43038,Grad_Norm_Pre/Backbone,9.803345680236816,ver_2-10_Phase-2
43088,Grad_Norm_Pre/Backbone,11.976964950561523,ver_2-10_Phase-2
43120,Grad_Norm_Pre/Backbone,12.359997749328613,ver_2-10_Phase-2
43170,Grad_Norm_Pre/Backbone,19.95877456665039,ver_2-10_Phase-2
43220,Grad_Norm_Pre/Backbone,31.286865234375,ver_2-10_Phase-2
43270,Grad_Norm_Pre/Backbone,42.454566955566406,ver_2-10_Phase-2
43320,Grad_Norm_Pre/Backbone,18.00149154663086,ver_2-10_Phase-2
43370,Grad_Norm_Pre/Backbone,18.41004753112793,ver_2-10_Phase-2
43420,Grad_Norm_Pre/Backbone,23.372135162353516,ver_2-10_Phase-2
43470,Grad_Norm_Pre/Backbone,25.606264114379883,ver_2-10_Phase-2
43520,Grad_Norm_Pre/Backbone,15.034478187561035,ver_2-10_Phase-2
43570,Grad_Norm_Pre/Backbone,19.494043350219727,ver_2-10_Phase-2
43620,Grad_Norm_Pre/Backbone,15.676873207092285,ver_2-10_Phase-2
43670,Grad_Norm_Pre/Backbone,7.985876083374023,ver_2-10_Phase-2
43720,Grad_Norm_Pre/Backbone,14.0003080368042,ver_2-10_Phase-2
43770,Grad_Norm_Pre/Backbone,72.42524719238281,ver_2-10_Phase-2
43820,Grad_Norm_Pre/Backbone,7.961294651031494,ver_2-10_Phase-2
43870,Grad_Norm_Pre/Backbone,38.598716735839844,ver_2-10_Phase-2
43920,Grad_Norm_Pre/Backbone,16.439523696899414,ver_2-10_Phase-2
43970,Grad_Norm_Pre/Backbone,11.984426498413086,ver_2-10_Phase-2
44020,Grad_Norm_Pre/Backbone,17.181108474731445,ver_2-10_Phase-2
44070,Grad_Norm_Pre/Backbone,18.909685134887695,ver_2-10_Phase-2
44120,Grad_Norm_Pre/Backbone,8.429142951965332,ver_2-10_Phase-2
44170,Grad_Norm_Pre/Backbone,26.07038688659668,ver_2-10_Phase-2
44220,Grad_Norm_Pre/Backbone,21.233856201171875,ver_2-10_Phase-2
44270,Grad_Norm_Pre/Backbone,30.20768165588379,ver_2-10_Phase-2
44320,Grad_Norm_Pre/Backbone,10.08161735534668,ver_2-10_Phase-2
44352,Grad_Norm_Pre/Backbone,38.3434944152832,ver_2-10_Phase-2
44402,Grad_Norm_Pre/Backbone,21.31846046447754,ver_2-10_Phase-2
44452,Grad_Norm_Pre/Backbone,24.52686882019043,ver_2-10_Phase-2
44502,Grad_Norm_Pre/Backbone,17.98374366760254,ver_2-10_Phase-2
44552,Grad_Norm_Pre/Backbone,18.25164794921875,ver_2-10_Phase-2
44602,Grad_Norm_Pre/Backbone,14.151092529296875,ver_2-10_Phase-2
44652,Grad_Norm_Pre/Backbone,10.966216087341309,ver_2-10_Phase-2
44702,Grad_Norm_Pre/Backbone,13.411683082580566,ver_2-10_Phase-2
44752,Grad_Norm_Pre/Backbone,44.16521453857422,ver_2-10_Phase-2
44802,Grad_Norm_Pre/Backbone,22.18682098388672,ver_2-10_Phase-2
44852,Grad_Norm_Pre/Backbone,19.571134567260742,ver_2-10_Phase-2
44902,Grad_Norm_Pre/Backbone,15.63752555847168,ver_2-10_Phase-2
44952,Grad_Norm_Pre/Backbone,30.915298461914062,ver_2-10_Phase-2
