epoch	avg_loss	val_epe	geom	photo	lrc	occ	lr
1	117.2744	15.2949	27.4454	0.0469	13.3556	0.5075	1.62e-05
2	43.0420	12.7180	13.7798	0.0233	4.4213	0.5906	3.96e-05
3	36.8261	10.7045	11.8705	0.0124	4.7954	0.5358	7.42e-05
4	30.6721	8.7612	9.7982	0.0043	5.9695	0.4850	1.14e-04
5	24.8535	6.1453	7.9249	-0.0004	6.3053	0.4815	1.52e-04
6	9.6012	4.7780	6.2609	-0.0037	6.4783	0.5073	1.82e-04
7	8.4585	4.0198	5.1266	-0.0017	5.9788	0.5529	1.98e-04
8	8.0323	3.8639	4.5569	0.0008	5.5735	0.5817	2.00e-04
9	7.8636	3.5810	4.2014	0.0032	5.2674	0.5994	2.00e-04
10	7.8218	3.1966	3.9556	0.0058	5.0062	0.6094	1.99e-04
11	7.8101	3.0822	3.7531	0.0081	4.7790	0.6127	1.99e-04
12	7.8261	3.2790	3.5850	0.0105	4.5743	0.6119	1.98e-04
13	7.9142	3.2131	3.4925	0.0130	4.3653	0.6071	1.97e-04
14	7.9813	2.8272	3.3905	0.0149	4.1928	0.5993	1.95e-04
15	8.0802	3.0199	3.3478	0.0174	3.9888	0.5885	1.94e-04
16	8.4413	4.2443	4.6671	0.0353	1.9525	0.5483	1.92e-04
17	7.9224	4.3315	4.5793	0.0400	1.6323	0.5114	1.90e-04
18	7.6364	4.0035	4.4661	0.0415	1.5243	0.4879	1.88e-04
19	7.4708	4.1433	4.4116	0.0431	1.4588	0.4698	1.86e-04
20	7.3307	3.8309	4.3602	0.0442	1.4039	0.4545	1.84e-04
21	7.1816	4.0190	4.2829	0.0445	1.3660	0.4399	1.81e-04
22	7.0935	3.9442	4.2563	0.0454	1.3266	0.4271	1.78e-04
23	6.9777	3.8393	4.2016	0.0459	1.2942	0.4141	1.75e-04
24	6.9070	3.8999	4.1733	0.0463	1.2711	0.4035	1.72e-04
25	6.8127	3.7674	4.1321	0.0468	1.2412	0.3942	1.69e-04
26	6.7178	3.7584	4.0866	0.0470	1.2155	0.3830	1.65e-04
27	6.6777	3.8133	4.0688	0.0475	1.2037	0.3781	1.61e-04
28	6.5910	3.7429	4.0284	0.0476	1.1778	0.3694	1.58e-04
29	6.5416	3.7693	4.0063	0.0477	1.1641	0.3622	1.54e-04
30	6.4886	3.6667	3.9846	0.0482	1.1473	0.3561	1.50e-04
31	6.4426	3.7710	3.9578	0.0477	1.1398	0.3519	1.46e-04
32	6.3936	3.8433	3.9390	0.0485	1.1214	0.3455	1.42e-04
33	6.3587	3.7254	3.9259	0.0483	1.1104	0.3415	1.37e-04
76	5.1816	1.9078	1.8060	0.0211	3.7411	0.2963	3.00e-05
77	5.1098	1.7795	1.7341	0.0204	3.8591	0.2950	3.00e-05
78	5.1076	1.7443	1.7238	0.0202	3.8884	0.2954	2.99e-05
79	5.0821	1.8082	1.7031	0.0201	3.9119	0.2944	2.99e-05
80	5.0661	1.7257	1.6899	0.0200	3.9328	0.2927	2.98e-05
81	5.0655	1.7063	1.6897	0.0198	3.9365	0.2933	2.97e-05
82	5.0481	1.7903	1.6770	0.0199	3.9426	0.2918	2.96e-05
83	5.0330	1.7295	1.6699	0.0199	3.9420	0.2903	2.95e-05
84	5.0288	1.6337	1.6639	0.0198	3.9561	0.2901	2.94e-05
85	5.0321	1.7020	1.6617	0.0198	3.9702	0.2890	2.93e-05
86	5.0242	1.7061	1.6576	0.0197	3.9683	0.2893	2.91e-05
87	5.0151	1.7132	1.6518	0.0197	3.9759	0.2889	2.89e-05
88	5.0134	1.6570	1.6489	0.0197	3.9802	0.2888	2.88e-05
89	4.9921	1.6905	1.6376	0.0196	3.9806	0.2878	2.86e-05
90	4.9866	1.6369	1.6365	0.0196	3.9776	0.2876	2.84e-05
91	4.9928	1.8004	1.6387	0.0197	3.9802	0.2873	2.81e-05
92	4.9901	1.8049	1.6349	0.0196	3.9854	0.2879	2.79e-05
93	4.9690	1.7486	1.6255	0.0195	3.9812	0.2857	2.77e-05
94	4.9699	2.0865	1.6230	0.0195	3.9899	0.2870	2.74e-05
95	4.9741	1.6985	1.6269	0.0196	3.9924	0.2869	2.71e-05
96	4.9567	1.6748	1.6184	0.0195	3.9845	0.2863	2.68e-05
97	4.9706	1.6207	1.6218	0.0195	4.0010	0.2859	2.66e-05
98	4.9526	1.6553	1.6124	0.0194	3.9965	0.2852	2.62e-05
99	4.9561	1.6980	1.6125	0.0195	4.0058	0.2850	2.59e-05
100	4.9524	1.6276	1.6112	0.0194	4.0034	0.2848	2.56e-05
