epoch	avg_loss	val_epe	geom	photo	lrc	occ	lr
1	79.2612	10.7029	35.6152	0.1115	16.2621	1.2203	1.63e-05
2	19.2881	5.4917	7.6011	0.0851	4.5195	0.7586	3.98e-05
3	13.3749	4.8328	5.6088	0.0942	3.1744	0.6583	7.45e-05
4	11.7133	4.4532	5.0907	0.1212	2.6153	0.6152	1.14e-04
5	10.7762	4.2646	4.8045	0.1404	2.2552	0.5503	1.52e-04
6	10.2163	4.0658	4.6334	0.1476	2.0369	0.5010	1.82e-04
7	9.8148	3.9332	4.4912	0.1490	1.9116	0.4636	1.98e-04
8	9.4657	3.7820	4.3296	0.1420	1.8453	0.4484	2.00e-04
9	9.1622	3.6190	4.1747	0.1313	1.8074	0.4424	2.00e-04
10	8.8918	3.5614	4.0550	0.1247	1.7545	0.4311	1.99e-04
11	8.6856	3.5289	3.9625	0.1220	1.7145	0.4178	1.99e-04
12	8.5260	3.4700	3.9001	0.1204	1.6779	0.4044	1.98e-04
13	8.4062	3.3979	3.8546	0.1196	1.6499	0.3939	1.97e-04
14	8.2803	3.2982	3.8060	0.1187	1.6212	0.3854	1.95e-04
15	8.1704	3.2831	3.7611	0.1176	1.5971	0.3771	1.94e-04
16	8.0892	3.1904	3.7290	0.1173	1.5772	0.3713	1.92e-04
17	8.0029	3.1766	3.6861	0.1168	1.5646	0.3654	1.90e-04
18	7.9352	3.2429	3.6546	0.1164	1.5514	0.3605	1.88e-04
19	7.8858	3.1608	3.6376	0.1157	1.5375	0.3554	1.86e-04
20	7.8214	3.1742	3.6134	0.1161	1.5167	0.3507	1.83e-04
21	7.7676	3.0961	3.5846	0.1154	1.5086	0.3472	1.81e-04
22	7.7201	3.0948	3.5618	0.1155	1.5002	0.3444	1.78e-04
23	7.6811	3.1082	3.5431	0.1158	1.4924	0.3416	1.75e-04
24	7.6419	3.0897	3.5259	0.1153	1.4819	0.3382	1.72e-04
25	7.5935	3.1054	3.5041	0.1155	1.4723	0.3360	1.69e-04
26	7.5605	3.0202	3.4927	0.1152	1.4590	0.3332	1.65e-04
27	7.5267	3.0522	3.4780	0.1149	1.4507	0.3307	1.61e-04
28	7.5081	3.0332	3.4679	0.1151	1.4478	0.3285	1.58e-04
