epoch	avg_loss	val_loss	val_epe	geom	photo	lrc	lr	phase	w_geom	w_aux
1	16.1279	11.0731	11.5587	15.3327	0.0231	5.7936	1.63e-05	INITIAL	1.00	0.10
2	5.9189	7.7778	8.2467	5.3738	0.0178	2.9086	3.97e-05	INITIAL	1.00	0.10
3	4.3775	6.4637	6.9083	3.9037	0.0155	1.6240	7.43e-05	INITIAL	1.00	0.10
4	3.4869	4.5896	4.9919	3.0601	0.0142	1.1483	1.14e-04	INITIAL	1.00	0.10
5	3.0121	4.9055	5.3729	2.6435	0.0135	0.9442	1.52e-04	INITIAL	1.00	0.10
6	2.7395	5.3762	5.8288	2.4038	0.0131	0.8472	1.82e-04	INITIAL	1.00	0.10
7	2.5356	3.6715	4.0626	2.2227	0.0127	0.7877	1.98e-04	INITIAL	1.00	0.10
8	2.3766	5.7301	6.1382	2.0840	0.0125	0.7374	2.00e-04	INITIAL	1.00	0.10
9	2.2570	3.6457	4.0258	1.9814	0.0122	0.6977	2.00e-04	INITIAL	1.00	0.10
10	2.1513	4.1168	4.5561	1.8895	0.0121	0.6670	1.99e-04	INITIAL	1.00	0.10
11	2.0810	3.9154	4.3061	1.8290	0.0120	0.6446	1.99e-04	INITIAL	1.00	0.10
12	1.9933	3.2884	3.6644	1.7500	0.0119	0.6277	1.98e-04	INITIAL	1.00	0.10
13	1.9226	2.7015	3.0394	1.6873	0.0117	0.6110	1.97e-04	INITIAL	1.00	0.10
14	1.8725	3.0328	3.4372	1.6434	0.0116	0.5962	1.95e-04	INITIAL	1.00	0.10
15	1.8363	2.5358	2.8991	1.6123	0.0116	0.5851	1.94e-04	INITIAL	1.00	0.10
16	1.7930	2.6402	2.9824	1.5735	0.0115	0.5764	1.92e-04	INITIAL	1.00	0.10
17	1.7602	6.4068	6.8262	1.5451	0.0115	0.5651	1.90e-04	INITIAL	1.00	0.10
18	1.7298	2.8320	3.2083	1.5188	0.0114	0.5558	1.88e-04	INITIAL	1.00	0.10
19	1.7027	2.5667	2.9234	1.4946	0.0114	0.5508	1.86e-04	INITIAL	1.00	0.10
20	1.6782	3.0568	3.4075	1.4738	0.0113	0.5421	1.84e-04	INITIAL	1.00	0.10
21	1.6595	2.3887	2.7278	1.4569	0.0113	0.5377	1.81e-04	INITIAL	1.00	0.10
22	1.6388	2.3516	2.6826	1.4395	0.0112	0.5321	1.78e-04	INITIAL	1.00	0.10
23	1.6179	2.3334	2.6969	1.4205	0.0112	0.5262	1.75e-04	INITIAL	1.00	0.10
24	1.6069	2.3650	2.7103	1.4112	0.0112	0.5231	1.72e-04	INITIAL	1.00	0.10
25	1.5841	2.7323	3.0900	1.3904	0.0112	0.5164	1.69e-04	INITIAL	1.00	0.10
26	1.5771	2.4736	2.8168	1.3850	0.0112	0.5158	1.65e-04	INITIAL	1.00	0.10
27	1.5648	2.3888	2.7078	1.3741	0.0112	0.5100	1.62e-04	INITIAL	1.00	0.10
28	1.5499	2.2072	2.5294	1.3608	0.0111	0.5061	1.58e-04	INITIAL	1.00	0.10
29	1.5418	2.3346	2.6653	1.3542	0.0111	0.5027	1.54e-04	INITIAL	1.00	0.10
30	1.5302	2.4961	2.8309	1.3437	0.0111	0.4999	1.50e-04	INITIAL	1.00	0.10
31	1.5204	2.3436	2.6868	1.3350	0.0111	0.4979	1.46e-04	REFINE	1.00	0.10
32	1.5082	2.7175	3.0690	1.3281	0.0111	0.4908	1.42e-04	REFINE	0.99	0.12
33	1.4972	2.2797	2.6390	1.3226	0.0110	0.4836	1.37e-04	REFINE	0.98	0.14
34	1.4855	2.5355	2.8590	1.3162	0.0110	0.4772	1.33e-04	REFINE	0.97	0.16
35	1.4704	2.2899	2.6170	1.3076	0.0110	0.4688	1.29e-04	REFINE	0.96	0.18
36	1.4593	1.9843	2.2873	1.3023	0.0110	0.4606	1.24e-04	REFINE	0.94	0.20
37	1.4479	2.1689	2.4884	1.2962	0.0110	0.4538	1.20e-04	REFINE	0.93	0.22
38	1.4359	2.0829	2.3926	1.2911	0.0110	0.4462	1.15e-04	REFINE	0.92	0.24
39	1.4249	1.9930	2.2899	1.2860	0.0110	0.4395	1.10e-04	REFINE	0.91	0.26
40	1.4126	2.0815	2.3980	1.2795	0.0110	0.4339	1.06e-04	REFINE	0.90	0.28
41	1.4074	2.2023	2.5111	1.2807	0.0110	0.4289	1.01e-04	REFINE	0.89	0.30
42	1.3969	1.9633	2.2684	1.2768	0.0110	0.4219	9.65e-05	REFINE	0.88	0.32
43	1.3819	2.0099	2.3024	1.2682	0.0109	0.4165	9.19e-05	REFINE	0.87	0.34
44	1.3734	2.0007	2.3339	1.2666	0.0110	0.4104	8.72e-05	REFINE	0.86	0.36
45	1.3686	1.9872	2.2750	1.2683	0.0110	0.4062	8.26e-05	REFINE	0.84	0.38
46	1.3545	2.0251	2.3255	1.2614	0.0109	0.3998	7.81e-05	REFINE	0.83	0.40
47	1.3450	1.9288	2.2215	1.2588	0.0109	0.3946	7.36e-05	REFINE	0.82	0.42
48	1.3405	2.1226	2.4139	1.2617	0.0109	0.3906	6.91e-05	REFINE	0.81	0.44
49	1.3312	2.0570	2.3479	1.2586	0.0110	0.3870	6.47e-05	REFINE	0.80	0.46
50	1.3218	1.8564	2.1370	1.2568	0.0110	0.3822	6.04e-05	REFINE	0.79	0.48
51	1.3118	1.9197	2.2057	1.2536	0.0109	0.3782	5.62e-05	REFINE	0.78	0.50
