epoch	avg_loss	val_loss	val_epe	data_LR	data_RL	photo_L	lrc	occ	lr	alpha_smooth	warp_factor	lrc_factor	rl_geom_factor
1	50,2289	10,0373	10,0373	50,2289	0,0000	0,0000	0,0000	0,0000	1,00e-04	0,0	0,0	0,0	0,0
2	21,0891	7,4024	7,4024	21,0891	0,0000	0,0000	0,0000	0,0000	1,00e-04	0,0	0,0	0,0	0,0
3	18,0713	7,1972	7,1972	18,0713	0,0000	0,0000	0,0000	0,0000	9,98e-05	0,0	0,0	0,0	0,0
4	16,7241	6,5774	6,5774	16,7241	0,0000	0,0000	0,0000	0,0000	9,96e-05	0,0	0,0	0,0	0,0
5	16,0370	6,3639	6,3639	16,0370	0,0000	0,0000	0,0000	0,0000	9,93e-05	0,0	0,0	0,0	0,0
6	15,4360	5,8898	5,8898	15,4360	37,0352	0,0000	0,0000	0,0000	9,89e-05	0,0	0,0	0,0	0,0
7	15,0749	5,9232	5,9232	15,0749	37,1223	0,0000	0,0000	0,0000	9,84e-05	0,0	0,0	0,0	0,0
8	14,8140	5,4730	5,4730	14,8140	37,0314	0,0000	0,0000	0,0000	9,79e-05	0,0	0,0	0,0	0,0
9	14,5876	5,3369	5,3369	14,5876	37,1103	0,0000	0,0000	0,0000	9,72e-05	0,0	0,0	0,0	0,0
10	14,2856	5,4752	5,4752	14,2856	37,0018	0,0000	0,0000	0,0000	9,65e-05	0,0	0,0	0,0	0,0
11	14,0877	5,2924	5,2924	14,0877	36,8106	0,0000	0,0000	0,0000	9,57e-05	0,0	0,0	0,0	0,0
12	13,9278	5,3885	5,3885	13,9278	37,0584	0,0000	0,0000	0,0000	9,48e-05	0,0	0,0	0,0	0,0
13	13,8423	5,1772	5,1772	13,8423	36,8672	0,0000	0,0000	0,0000	9,39e-05	0,0	0,0	0,0	0,0
14	13,6376	5,1962	5,1962	13,6376	37,0988	0,0000	0,0000	0,0000	9,28e-05	0,0	0,0	0,0	0,0
15	13,5224	5,2060	5,2060	13,5224	37,0783	0,0000	0,0000	0,0000	9,17e-05	0,0	0,0	0,0	0,0
16	13,3865	5,0593	5,0593	13,3865	37,0400	0,0000	0,0000	0,0000	9,05e-05	0,0	0,0	0,0	0,0
17	13,3810	5,0400	5,0400	13,3810	37,0881	0,0000	0,0000	0,0000	8,93e-05	0,0	0,0	0,0	0,0
18	13,2402	6,0818	6,0818	13,2402	37,1209	0,0000	0,0000	0,0000	8,80e-05	0,0	0,0	0,0	0,0
19	13,1772	5,2781	5,2781	13,1772	36,9503	0,0000	0,0000	0,0000	8,66e-05	0,0	0,0	0,0	0,0
20	13,1468	4,9094	4,9094	13,1468	37,0318	0,0000	0,0000	0,0000	8,51e-05	0,0	0,0	0,0	0,0
21	12,9566	4,7924	4,7924	12,9566	37,0357	0,0000	0,0000	0,0000	8,36e-05	0,0	0,0	0,0	0,0
22	12,8908	4,7957	4,7957	12,8908	36,9654	0,0000	0,0000	0,0000	8,21e-05	0,0	0,0	0,0	0,0
23	12,7695	4,7665	4,7665	12,7695	36,9537	0,0000	0,0000	0,0000	8,04e-05	0,0	0,0	0,0	0,0
24	12,7968	4,9806	4,9806	12,7968	36,9644	0,0000	0,0000	0,0000	7,88e-05	0,0	0,0	0,0	0,0
25	12,7491	4,8486	4,8486	12,7491	36,9816	0,0000	0,0000	0,0000	7,70e-05	0,0	0,0	0,0	0,0
26	12,6066	4,7690	4,7690	12,6066	36,9024	0,0000	0,0000	0,0000	7,53e-05	0,0	0,0	0,0	0,0
27	12,6022	4,8519	4,8519	12,6022	36,9804	0,0000	0,0000	0,0000	7,34e-05	0,0	0,0	0,0	0,0
28	12,5559	4,6680	4,6680	12,5559	37,1013	0,0000	0,0000	0,0000	7,16e-05	0,0	0,0	0,0	0,0
29	12,4412	4,6501	4,6501	12,4412	36,9071	0,0000	0,0000	0,0000	6,97e-05	0,0	0,0	0,0	0,0
30	12,4956	4,6443	4,6443	12,4956	37,2183	0,0000	0,0000	0,0000	6,78e-05	0,0	0,0	0,0	0,0
31	12,4235	4,6773	4,6773	12,4235	36,8850	0,0000	0,0000	0,0000	6,58e-05	0,0	0,0	0,0	0,0
32	12,4645	4,7096	4,7096	12,4645	37,1469	0,0000	0,0000	0,0000	6,38e-05	0,0	0,0	0,0	0,0
33	12,2802	4,4244	4,4244	12,2802	36,8795	0,0000	0,0000	0,0000	6,18e-05	0,0	0,0	0,0	0,0
34	12,2768	4,6732	4,6732	12,2768	36,9983	0,0000	0,0000	0,0000	5,98e-05	0,0	0,0	0,0	0,0
35	12,2488	4,5412	4,5412	12,2488	37,0373	0,0000	0,0000	0,0000	5,77e-05	0,0	0,0	0,0	0,0
36	12,0506	4,3784	4,3784	12,0506	36,7957	0,0000	0,0000	0,0000	5,57e-05	0,0	0,0	0,0	0,0
37	12,1177	4,3711	4,3711	12,1177	36,9167	0,0000	0,0000	0,0000	5,36e-05	0,0	0,0	0,0	0,0
38	12,0641	4,4631	4,4631	12,0641	37,0587	0,0000	0,0000	0,0000	5,15e-05	0,0	0,0	0,0	0,0
39	12,0586	4,4350	4,4350	12,0586	36,9215	0,0000	0,0000	0,0000	4,95e-05	0,0	0,0	0,0	0,0
40	12,1290	4,4589	4,4589	12,1290	37,0172	0,0000	0,0000	0,0000	4,74e-05	0,0	0,0	0,0	0,0
41	11,9903	4,3847	4,3847	11,9903	37,0804	0,0000	0,0000	0,0000	4,53e-05	0,0	0,0	0,0	0,0
42	11,9927	4,3339	4,3339	11,9927	37,0419	0,0000	0,0000	0,0000	4,33e-05	0,0	0,0	0,0	0,0
43	11,9500	4,3478	4,3478	11,9500	36,9331	0,0000	0,0000	0,0000	4,12e-05	0,0	0,0	0,0	0,0
44	11,9559	4,2784	4,2784	11,9559	37,0511	0,0000	0,0000	0,0000	3,92e-05	0,0	0,0	0,0	0,0
45	11,9186	4,3988	4,3988	11,9186	36,9643	0,0000	0,0000	0,0000	3,72e-05	0,0	0,0	0,0	0,0
46	11,7935	4,3290	4,3290	11,7935	36,8772	0,0000	0,0000	0,0000	3,52e-05	0,0	0,0	0,0	0,0
47	11,8854	4,3255	4,3255	11,8854	37,0433	0,0000	0,0000	0,0000	3,32e-05	0,0	0,0	0,0	0,0
48	11,8285	4,2346	4,2346	11,8285	36,7571	0,0000	0,0000	0,0000	3,13e-05	0,0	0,0	0,0	0,0
49	11,9169	4,2033	4,2033	11,9169	36,9303	0,0000	0,0000	0,0000	2,94e-05	0,0	0,0	0,0	0,0
50	11,7836	4,2052	4,2052	11,7836	36,9232	0,0000	0,0000	0,0000	2,76e-05	0,0	0,0	0,0	0,0
51	11,7920	4,2858	4,2858	11,7920	36,9127	0,0000	0,0000	0,0000	2,57e-05	0,0	0,0	0,0	0,0
52	34,6226	5,1338	5,1338	13,0521	35,6959	0,0000	3,6016	0,1202	2,40e-05	0,001	0,0	1,0	0,5
53	34,3729	5,3671	5,3671	13,2638	35,4547	0,0000	3,2655	0,1156	2,22e-05	0,001	0,0	1,0	0,5
54	34,2132	5,1457	5,1457	13,2983	35,2843	0,0000	3,1580	0,1141	2,06e-05	0,001	0,0	1,0	0,5
55	34,3176	5,2427	5,2427	13,4318	35,3643	0,0000	3,0900	0,1129	1,89e-05	0,001	0,0	1,0	0,5
56	34,1418	5,2979	5,2979	13,3557	35,2757	0,0000	3,0360	0,1115	1,74e-05	0,001	0,0	1,0	0,5
57	34,1968	5,2010	5,2010	13,4310	35,2823	0,0000	3,0137	0,1103	1,59e-05	0,001	0,0	1,0	0,5
58	34,1816	5,1919	5,1919	13,4561	35,2751	0,0000	2,9780	0,1093	1,44e-05	0,001	0,0	1,0	0,5
59	34,2094	5,2190	5,2190	13,4762	35,3607	0,0000	2,9439	0,1083	1,30e-05	0,001	0,0	1,0	0,5
60	34,1380	5,1832	5,1832	13,4789	35,2474	0,0000	2,9274	0,1074	1,17e-05	0,001	0,0	1,0	0,5
61	34,0114	5,1795	5,1795	13,4315	35,1291	0,0000	2,9082	0,1065	1,05e-05	0,001	0,0	1,0	0,5
62	34,3621	5,2020	5,2020	13,4593	35,3115	0,0673	2,9145	0,2647	9,27e-06	0,001	1,0	1,0	0,5
63	34,2840	5,1058	5,1058	13,4261	35,2514	0,0673	2,9021	0,2621	8,16e-06	0,001	1,0	1,0	0,5
64	34,3957	5,1986	5,1986	13,4982	35,3452	0,0672	2,8962	0,2608	7,12e-06	0,001	1,0	1,0	0,5
65	34,2768	5,2672	5,2672	13,5159	35,0945	0,0673	2,8858	0,2599	6,16e-06	0,001	1,0	1,0	0,5
66	34,2703	5,2223	5,2223	13,4864	35,1638	0,0674	2,8752	0,2588	5,28e-06	0,001	1,0	1,0	0,5
67	34,2789	5,1960	5,1960	13,4886	35,1752	0,0674	2,8771	0,2575	4,48e-06	0,001	1,0	1,0	0,5
68	34,3500	5,1673	5,1673	13,5410	35,2242	0,0672	2,8719	0,2572	3,75e-06	0,001	1,0	1,0	0,5
69	34,1371	5,1722	5,1722	13,3870	35,1593	0,0671	2,8467	0,2560	3,11e-06	0,001	1,0	1,0	0,5
70	34,2148	5,1759	5,1759	13,4638	35,1216	0,0673	2,8666	0,2557	2,56e-06	0,001	1,0	1,0	0,5
71	34,3685	5,2141	5,2141	13,5234	35,3278	0,0673	2,8578	0,2554	2,08e-06	0,001	1,0	1,0	0,5
72	52,2258	5,4942	5,4942	13,8883	34,9399	0,1390	2,7446	0,5134	1,69e-06	0,001	2,0	1,0	1,0
73	51,9578	5,5317	5,5317	13,9451	34,5966	0,1404	2,7605	0,5146	1,39e-06	0,001	2,0	1,0	1,0
74	52,1792	5,4903	5,4903	14,0856	34,6399	0,1408	2,7967	0,5156	1,17e-06	0,001	2,0	1,0	1,0
75	52,0924	5,4983	5,4983	14,0392	34,6065	0,1407	2,7908	0,5146	1,04e-06	0,001	2,0	1,0	1,0
