t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state
0.000,4,7,0.7093,0.4449,0.2929,-0.0184,0.0170,-0.0847,0.0086,0.0017,0.0040,-0.0155,0.0233,0.0044,0.000,0.000,0.0000,0.0000,0.9748,0.2231,0.0123,1,0.344,2.940,1.293,STANCE,0.9860,0.5647,0.0989,1,0.255,2.940,0.334,REACH,0.5834,0.1275,0.0241,0,0.001,0.026,0.005,STANCE,0.6372,0.7700,0.0129,1,0.986,1.818,0.861,STANCE,0.3420,0.3013,0.0541,0,0.000,0.031,0.006,STANCE,0.3705,0.6392,0.0479,0,0.002,0.031,0.006,STANCE
0.064,8,7,0.7094,0.4449,0.2929,-0.0187,0.0173,-0.0846,0.0067,0.0016,0.0040,-0.0126,0.0201,0.0032,0.000,0.000,0.0000,0.0000,0.9748,0.2231,0.0123,1,0.410,2.940,1.305,STANCE,0.9860,0.5647,0.0989,1,0.174,2.940,0.377,REACH,0.5834,0.1274,0.0243,0,0.001,0.026,0.005,STANCE,0.6372,0.7701,0.0130,1,0.975,1.859,0.884,STANCE,0.3420,0.3013,0.0543,0,0.000,0.031,0.006,STANCE,0.3705,0.6392,0.0480,0,0.002,0.031,0.006,STANCE
0.084,12,7,0.7095,0.4449,0.2930,-0.0189,0.0176,-0.0846,0.0051,0.0016,0.0038,-0.0109,0.0201,0.0031,0.000,0.000,0.0000,0.0000,0.9748,0.2232,0.0123,1,0.487,2.940,1.320,STANCE,0.9861,0.5647,0.0989,1,0.090,2.940,0.418,REACH,0.5835,0.1274,0.0245,0,0.001,0.026,0.005,STANCE,0.6371,0.7701,0.0131,1,0.959,1.907,0.907,STANCE,0.3420,0.3012,0.0545,0,0.001,0.032,0.006,STANCE,0.3705,0.6392,0.0482,0,0.002,0.031,0.006,STANCE
0.148,16,7,0.7096,0.4449,0.2931,-0.0191,0.0179,-0.0845,0.0040,0.0020,0.0035,-0.0105,0.0176,0.0037,0.000,0.000,0.0000,0.0000,0.9748,0.2232,0.0123,1,0.553,2.940,1.340,STANCE,0.9861,0.5647,0.0989,1,0.010,2.940,0.471,REACH,0.5835,0.1274,0.0246,0,0.001,0.026,0.005,STANCE,0.6371,0.7701,0.0131,1,0.923,1.958,0.927,STANCE,0.3420,0.3012,0.0547,0,0.001,0.031,0.006,STANCE,0.3705,0.6391,0.0483,0,0.002,0.031,0.006,STANCE
0.167,20,7,0.7097,0.4450,0.2931,-0.0193,0.0182,-0.0845,0.0029,0.0023,0.0033,-0.0099,0.0144,0.0030,0.000,0.000,0.0000,0.0000,0.9748,0.2232,0.0123,1,0.622,2.940,1.367,STANCE,0.9861,0.5647,0.0989,1,0.068,2.940,0.520,REACH,0.5835,0.1274,0.0248,0,0.001,0.026,0.005,STANCE,0.6370,0.7702,0.0132,1,0.895,1.999,0.939,STANCE,0.3420,0.3012,0.0549,0,0.001,0.031,0.006,STANCE,0.3705,0.6391,0.0484,0,0.002,0.031,0.006,STANCE
0.229,24,7,0.7097,0.4450,0.2932,-0.0195,0.0184,-0.0844,0.0021,0.0022,0.0029,-0.0096,0.0132,0.0020,0.000,0.000,0.0000,0.0000,0.9748,0.2232,0.0123,1,0.685,2.940,1.388,STANCE,0.9861,0.5647,0.0989,1,0.132,2.940,0.563,REACH,0.5835,0.1274,0.0249,0,0.001,0.026,0.005,STANCE,0.6370,0.7702,0.0132,1,0.881,2.038,0.950,STANCE,0.3420,0.3012,0.0551,0,0.001,0.031,0.006,STANCE,0.3705,0.6391,0.0485,0,0.002,0.031,0.006,STANCE
0.249,28,7,0.7097,0.4451,0.2932,-0.0197,0.0186,-0.0844,0.0015,0.0020,0.0026,-0.0091,0.0113,0.0014,0.000,0.000,0.0000,0.0000,0.9748,0.2231,0.0124,1,0.736,2.940,1.399,STANCE,0.9860,0.5647,0.0989,1,0.174,2.940,0.604,REACH,0.5835,0.1274,0.0250,0,0.001,0.026,0.005,STANCE,0.6369,0.7702,0.0133,1,0.888,2.076,0.962,STANCE,0.3420,0.3012,0.0552,0,0.001,0.031,0.006,STANCE,0.3704,0.6391,0.0486,0,0.002,0.031,0.006,STANCE
0.310,32,7,0.7097,0.4451,0.2932,-0.0198,0.0187,-0.0844,0.0011,0.0017,0.0023,-0.0087,0.0099,0.0012,0.000,0.000,0.0000,0.0000,0.9748,0.2231,0.0124,1,0.779,2.940,1.408,STANCE,0.9860,0.5647,0.0989,1,0.202,2.940,0.645,REACH,0.5834,0.1274,0.0251,0,0.001,0.026,0.005,STANCE,0.6369,0.7703,0.0133,1,0.906,2.114,0.976,STANCE,0.3420,0.3011,0.0553,0,0.001,0.031,0.006,STANCE,0.3704,0.6391,0.0487,0,0.002,0.031,0.006,STANCE
0.330,36,7,0.7098,0.4451,0.2933,-0.0200,0.0189,-0.0844,0.0008,0.0015,0.0020,-0.0084,0.0087,0.0012,0.000,0.000,0.0000,0.0000,0.9749,0.2231,0.0125,1,0.816,2.940,1.414,STANCE,0.9860,0.5647,0.0990,1,0.220,2.940,0.687,REACH,0.5834,0.1273,0.0252,0,0.001,0.026,0.005,STANCE,0.6369,0.7703,0.0133,1,0.930,2.152,0.991,STANCE,0.3420,0.3011,0.0555,0,0.001,0.031,0.006,STANCE,0.3704,0.6391,0.0488,0,0.002,0.031,0.006,STANCE
0.389,40,7,0.7098,0.4451,0.2933,-0.0201,0.0190,-0.0844,0.0004,0.0012,0.0019,-0.0049,0.0081,0.0009,0.000,0.000,0.0000,0.0000,0.9749,0.2231,0.0125,1,0.848,2.940,1.419,STANCE,0.9860,0.5647,0.0990,1,0.242,2.940,0.726,REACH,0.5834,0.1273,0.0253,0,0.001,0.026,0.005,STANCE,0.6368,0.7703,0.0133,1,0.944,2.187,1.006,STANCE,0.3420,0.3011,0.0556,0,0.001,0.031,0.006,STANCE,0.3704,0.6391,0.0488,0,0.002,0.031,0.006,STANCE
0.409,44,7,0.7098,0.4452,0.2933,-0.0202,0.0191,-0.0844,-0.0001,0.0009,0.0016,-0.0038,0.0061,0.0002,0.000,0.000,0.0000,0.0000,0.9749,0.2230,0.0126,1,0.883,2.940,1.423,STANCE,0.9859,0.5647,0.0990,1,0.287,2.940,0.743,REACH,0.5834,0.1273,0.0254,0,0.001,0.026,0.005,STANCE,0.6368,0.7703,0.0134,1,0.922,2.226,1.021,STANCE,0.3419,0.3011,0.0556,0,0.001,0.031,0.006,STANCE,0.3703,0.6391,0.0489,0,0.002,0.031,0.006,STANCE
0.474,48,7,0.7098,0.4452,0.2934,-0.0202,0.0192,-0.0844,-0.0005,0.0006,0.0012,-0.0028,0.0049,-0.0001,0.000,0.000,0.0000,0.0000,0.9749,0.2230,0.0126,1,0.916,2.940,1.426,STANCE,0.9859,0.5647,0.0990,1,0.331,2.940,0.753,REACH,0.5834,0.1273,0.0254,0,0.001,0.026,0.005,STANCE,0.6367,0.7704,0.0134,1,0.898,2.268,1.039,STANCE,0.3419,0.3011,0.0557,0,0.001,0.031,0.006,STANCE,0.3703,0.6391,0.0489,0,0.002,0.031,0.006,STANCE
0.494,52,7,0.7098,0.4452,0.2934,-0.0203,0.0193,-0.0844,-0.0008,0.0002,0.0009,-0.0019,0.0040,-0.0001,0.000,0.000,0.0000,0.0000,0.9749,0.2230,0.0127,1,0.949,2.940,1.429,STANCE,0.9859,0.5646,0.0990,1,0.373,2.940,0.758,REACH,0.5833,0.1273,0.0255,0,0.001,0.026,0.005,STANCE,0.6367,0.7704,0.0134,1,0.877,2.310,1.058,STANCE,0.3419,0.3011,0.0558,0,0.001,0.031,0.006,STANCE,0.3703,0.6391,0.0489,0,0.002,0.031,0.006,STANCE
0.557,56,7,0.7097,0.4452,0.2934,-0.0203,0.0193,-0.0844,-0.0011,-0.0000,0.0006,-0.0011,0.0032,-0.0001,0.000,0.000,0.0000,0.0000,0.9749,0.2230,0.0127,1,0.983,2.940,1.431,STANCE,0.9859,0.5646,0.0990,1,0.412,2.940,0.762,REACH,0.5833,0.1273,0.0255,0,0.001,0.026,0.005,STANCE,0.6366,0.7704,0.0135,1,0.858,2.351,1.078,STANCE,0.3419,0.3011,0.0558,0,0.001,0.031,0.006,STANCE,0.3703,0.6391,0.0490,0,0.002,0.031,0.006,STANCE
0.577,60,7,0.7097,0.4452,0.2934,-0.0203,0.0194,-0.0844,-0.0013,-0.0003,0.0003,-0.0004,0.0026,-0.0000,0.000,0.000,0.0000,0.0000,0.9750,0.2229,0.0127,1,1.016,2.940,1.432,STANCE,0.9859,0.5646,0.0990,1,0.451,2.940,0.764,REACH,0.5833,0.1273,0.0255,0,0.001,0.026,0.005,STANCE,0.6366,0.7704,0.0135,1,0.841,2.392,1.098,STANCE,0.3418,0.3011,0.0558,0,0.001,0.031,0.006,STANCE,0.3702,0.6391,0.0490,0,0.002,0.031,0.006,STANCE
0.635,64,7,0.7097,0.4452,0.2934,-0.0203,0.0194,-0.0844,-0.0016,-0.0004,0.0001,0.0002,0.0020,0.0000,0.000,0.000,0.0000,0.0000,0.9750,0.2229,0.0127,1,1.050,2.940,1.434,STANCE,0.9859,0.5646,0.0990,1,0.487,2.940,0.765,REACH,0.5832,0.1273,0.0255,0,0.001,0.026,0.005,STANCE,0.6365,0.7705,0.0135,1,0.825,2.432,1.117,STANCE,0.3418,0.3011,0.0558,0,0.001,0.031,0.006,STANCE,0.3702,0.6390,0.0490,0,0.002,0.031,0.006,STANCE
0.656,68,7,0.7097,0.4452,0.2934,-0.0203,0.0194,-0.0844,-0.0018,-0.0006,-0.0001,0.0007,0.0016,0.0001,0.000,0.000,0.0000,0.0000,0.9750,0.2229,0.0128,1,1.084,2.940,1.435,STANCE,0.9859,0.5646,0.0990,1,0.523,2.940,0.766,REACH,0.5832,0.1273,0.0255,0,0.001,0.026,0.005,STANCE,0.6364,0.7705,0.0135,1,0.811,2.472,1.137,STANCE,0.3418,0.3011,0.0558,0,0.001,0.031,0.006,STANCE,0.3702,0.6390,0.0490,0,0.002,0.031,0.006,STANCE
0.716,72,7,0.7096,0.4451,0.2934,-0.0203,0.0195,-0.0844,-0.0019,-0.0008,-0.0003,0.0012,0.0012,0.0001,0.000,0.000,0.0000,0.0000,0.9750,0.2228,0.0128,1,1.119,2.940,1.436,STANCE,0.9859,0.5646,0.0990,1,0.558,2.940,0.766,REACH,0.5832,0.1273,0.0255,0,0.001,0.026,0.005,STANCE,0.6364,0.7705,0.0136,1,0.798,2.511,1.157,STANCE,0.3417,0.3011,0.0559,0,0.001,0.031,0.006,STANCE,0.3701,0.6390,0.0490,0,0.002,0.031,0.006,STANCE
