t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state
0.000,4,1,0.0017,-0.0040,0.2038,-0.0006,-0.0047,0.0061,0.0015,0.0011,-0.0004,-0.0019,-0.0173,-0.0031,0.000,0.000,0.0000,0.0000,0.2944,-0.1875,0.0149,0,0.082,0.130,0.108,,0.2946,0.1848,0.0149,0,0.044,0.081,0.072,,0.0044,-0.3407,0.0140,1,0.257,2.842,1.519,,-0.0003,0.3327,0.0139,1,0.197,2.940,1.652,,-0.3028,-0.2034,0.0150,1,0.279,0.706,0.463,,-0.3060,0.1910,0.0149,1,0.348,0.794,0.609,
0.063,8,1,0.0017,-0.0040,0.2038,-0.0007,-0.0047,0.0062,0.0024,0.0025,0.0024,0.0127,-0.0094,-0.0007,0.000,0.000,0.0000,0.0000,0.2944,-0.1875,0.0149,0,0.042,0.066,0.043,,0.2947,0.1848,0.0149,0,0.021,0.017,0.033,,0.0044,-0.3407,0.0140,1,0.283,2.869,1.591,,-0.0003,0.3327,0.0139,1,0.261,2.930,1.622,,-0.3028,-0.2034,0.0150,1,0.292,0.733,0.470,,-0.3065,0.1913,0.0150,1,0.310,0.739,0.470,
0.083,12,1,0.0017,-0.0040,0.2038,-0.0007,-0.0046,0.0061,-0.0034,-0.0011,0.0005,-0.0342,0.0546,-0.0494,0.000,0.000,0.0000,0.0000,0.2945,-0.1875,0.0149,1,0.453,1.028,0.658,,0.2946,0.1848,0.0149,0,0.015,0.100,0.076,,0.0045,-0.3407,0.0140,1,0.293,2.331,1.330,,-0.0003,0.3327,0.0140,1,0.539,2.940,1.640,,-0.3027,-0.2034,0.0150,1,0.312,0.647,0.422,,-0.3067,0.1915,0.0150,0,0.244,0.644,0.382,
0.141,16,1,0.0017,-0.0040,0.2037,-0.0007,-0.0047,0.0062,0.0006,-0.0005,-0.0020,-0.0178,-0.0290,-0.0001,0.000,0.000,0.0000,0.0000,0.2944,-0.1875,0.0149,0,0.013,0.015,0.008,,0.2946,0.1848,0.0149,0,0.075,0.094,0.087,,0.0045,-0.3407,0.0140,1,0.279,2.564,1.411,,-0.0003,0.3327,0.0139,1,0.436,2.940,1.742,,-0.3026,-0.2033,0.0150,1,0.211,0.645,0.399,,-0.3057,0.1907,0.0148,1,0.068,0.057,0.051,
0.162,20,1,0.0017,-0.0040,0.2037,-0.0007,-0.0047,0.0062,0.0015,0.0025,0.0014,0.0026,-0.0199,0.0010,0.000,0.000,0.0000,0.0000,0.2945,-0.1875,0.0149,0,0.047,0.082,0.055,,0.2948,0.1850,0.0149,0,0.021,0.046,0.049,,0.0045,-0.3407,0.0140,1,0.297,2.885,1.566,,-0.0003,0.3327,0.0139,1,0.259,2.940,1.620,,-0.3026,-0.2033,0.0150,1,0.293,0.737,0.559,,-0.3062,0.1911,0.0149,1,0.332,0.779,0.590,
0.225,24,1,0.0017,-0.0040,0.2037,-0.0007,-0.0047,0.0063,0.0020,0.0016,0.0016,0.0039,-0.0162,0.0014,0.000,0.000,0.0000,0.0000,0.2945,-0.1875,0.0149,0,0.058,0.111,0.066,,0.2947,0.1849,0.0149,0,0.015,0.012,0.025,,0.0045,-0.3407,0.0140,1,0.306,2.892,1.551,,-0.0004,0.3327,0.0139,1,0.287,2.940,1.653,,-0.3025,-0.2033,0.0149,1,0.298,0.748,0.574,,-0.3066,0.1914,0.0150,1,0.285,0.699,0.421,
0.246,28,1,0.0017,-0.0040,0.2037,-0.0008,-0.0047,0.0063,0.0005,0.0004,-0.0013,-0.0158,-0.0305,0.0020,0.000,0.000,0.0000,0.0000,0.2945,-0.1876,0.0149,0,0.018,0.021,0.004,,0.2947,0.1849,0.0149,0,0.066,0.058,0.056,,0.0045,-0.3407,0.0140,1,0.405,2.571,1.416,,-0.0004,0.3327,0.0139,1,0.592,2.940,1.732,,-0.3023,-0.2032,0.0149,1,0.228,0.672,0.519,,-0.3060,0.1908,0.0148,1,0.065,0.059,0.029,
0.308,32,1,0.0017,-0.0040,0.2037,-0.0007,-0.0047,0.0064,0.0017,0.0020,-0.0003,0.0360,-0.0272,-0.0079,0.000,0.000,0.0000,0.0000,0.2946,-0.1876,0.0149,1,0.168,0.246,0.149,,0.2948,0.1850,0.0149,0,0.013,0.034,0.049,,0.0046,-0.3407,0.0140,1,0.108,2.940,1.544,,-0.0004,0.3327,0.0139,1,0.148,2.901,1.619,,-0.3021,-0.2031,0.0149,1,0.126,0.043,0.049,,-0.3066,0.1913,0.0149,1,0.343,0.819,0.634,
0.328,36,1,0.0017,-0.0040,0.2037,-0.0008,-0.0046,0.0063,-0.0044,-0.0007,0.0007,-0.0249,0.0410,-0.0508,0.000,0.000,0.0000,0.0000,0.2947,-0.1877,0.0149,1,0.560,1.068,0.682,,0.2947,0.1850,0.0149,0,0.005,0.068,0.056,,0.0046,-0.3407,0.0140,1,0.570,2.566,1.314,,-0.0004,0.3327,0.0139,1,0.901,2.940,1.615,,-0.3022,-0.2032,0.0149,1,0.152,0.023,0.013,,-0.3070,0.1916,0.0150,0,0.282,0.738,0.454,
0.391,40,1,0.0017,-0.0040,0.2037,-0.0008,-0.0047,0.0064,0.0016,0.0023,-0.0002,-0.0009,-0.0318,0.0004,0.000,0.000,0.0000,0.0000,0.2947,-0.1876,0.0149,0,0.029,0.025,0.018,,0.2948,0.1850,0.0149,0,0.062,0.085,0.086,,0.0046,-0.3407,0.0140,1,0.133,2.843,1.465,,-0.0004,0.3327,0.0139,1,0.384,2.940,1.674,,-0.3021,-0.2031,0.0149,1,0.045,0.060,0.043,,-0.3063,0.1910,0.0149,1,0.064,0.043,0.041,
