t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state
0.000,4,1,-0.6845,-0.1357,0.2044,0.0000,0.0000,0.9592,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,-0.3662,-0.0040,0.0144,1,0.013,1.100,0.688,,-0.6692,0.2083,0.0144,1,0.464,0.692,0.937,,-0.4102,-0.3281,0.0144,1,0.479,0.830,0.453,,-0.9589,0.0567,0.0144,1,0.661,0.883,0.504,,-0.6999,-0.4797,0.0144,1,0.015,0.905,1.101,,-1.0029,-0.2674,0.0144,1,0.546,0.972,0.579,
0.054,8,1,-0.6845,-0.1357,0.2044,0.0000,0.0000,0.9592,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,-0.3662,-0.0040,0.0144,1,0.013,1.100,0.688,,-0.6692,0.2083,0.0144,1,0.464,0.692,0.937,,-0.4102,-0.3281,0.0144,1,0.479,0.830,0.453,,-0.9589,0.0567,0.0144,1,0.661,0.883,0.504,,-0.6999,-0.4797,0.0144,1,0.015,0.905,1.101,,-1.0029,-0.2674,0.0144,1,0.546,0.972,0.579,
0.076,12,1,-0.6845,-0.1357,0.2044,0.0000,0.0000,0.9592,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,-0.3662,-0.0040,0.0144,1,0.013,1.100,0.688,,-0.6692,0.2083,0.0144,1,0.464,0.692,0.937,,-0.4102,-0.3281,0.0144,1,0.479,0.830,0.453,,-0.9589,0.0567,0.0144,1,0.662,0.883,0.504,,-0.6999,-0.4797,0.0144,1,0.015,0.905,1.101,,-1.0029,-0.2674,0.0144,1,0.546,0.972,0.579,
0.131,16,1,-0.6845,-0.1357,0.2044,0.0000,0.0000,0.9592,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,-0.3662,-0.0040,0.0144,1,0.013,1.100,0.688,,-0.6692,0.2083,0.0144,1,0.464,0.692,0.937,,-0.4102,-0.3281,0.0144,1,0.479,0.830,0.453,,-0.9589,0.0567,0.0144,1,0.662,0.883,0.504,,-0.6999,-0.4797,0.0144,1,0.015,0.905,1.101,,-1.0029,-0.2674,0.0144,1,0.546,0.972,0.579,
0.152,20,1,-0.6845,-0.1357,0.2044,0.0000,0.0000,0.9592,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,-0.3662,-0.0040,0.0144,1,0.013,1.100,0.688,,-0.6692,0.2083,0.0144,1,0.464,0.692,0.937,,-0.4102,-0.3281,0.0144,1,0.479,0.830,0.453,,-0.9589,0.0567,0.0144,1,0.662,0.883,0.504,,-0.6999,-0.4797,0.0144,1,0.015,0.905,1.101,,-1.0029,-0.2674,0.0144,1,0.546,0.972,0.579,
0.207,24,1,-0.6845,-0.1357,0.2044,0.0000,0.0000,0.9592,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,-0.3662,-0.0040,0.0144,1,0.013,1.100,0.688,,-0.6692,0.2083,0.0144,1,0.464,0.692,0.937,,-0.4102,-0.3281,0.0144,1,0.479,0.830,0.453,,-0.9589,0.0567,0.0144,1,0.662,0.883,0.504,,-0.6999,-0.4797,0.0144,1,0.015,0.905,1.101,,-1.0029,-0.2674,0.0144,1,0.546,0.972,0.579,
0.229,28,1,-0.6845,-0.1357,0.2044,0.0000,0.0000,0.9592,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,-0.3662,-0.0040,0.0144,1,0.013,1.100,0.688,,-0.6692,0.2083,0.0144,1,0.464,0.692,0.937,,-0.4102,-0.3281,0.0144,1,0.479,0.830,0.453,,-0.9589,0.0567,0.0144,1,0.662,0.883,0.504,,-0.6999,-0.4797,0.0144,1,0.015,0.905,1.101,,-1.0029,-0.2674,0.0144,1,0.546,0.972,0.579,
0.285,32,1,-0.6845,-0.1357,0.2044,0.0000,0.0000,0.9592,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,-0.3662,-0.0040,0.0144,1,0.013,1.100,0.688,,-0.6692,0.2083,0.0144,1,0.464,0.692,0.937,,-0.4102,-0.3281,0.0144,1,0.479,0.830,0.453,,-0.9589,0.0567,0.0144,1,0.662,0.883,0.504,,-0.6999,-0.4797,0.0144,1,0.015,0.905,1.101,,-1.0029,-0.2674,0.0144,1,0.546,0.972,0.579,
0.306,36,1,-0.6845,-0.1357,0.2044,0.0000,0.0000,0.9592,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,-0.3662,-0.0040,0.0144,1,0.013,1.100,0.688,,-0.6692,0.2083,0.0144,1,0.464,0.692,0.937,,-0.4102,-0.3281,0.0144,1,0.479,0.830,0.453,,-0.9589,0.0567,0.0144,1,0.662,0.883,0.504,,-0.6999,-0.4797,0.0144,1,0.015,0.905,1.101,,-1.0029,-0.2674,0.0144,1,0.546,0.972,0.579,
0.361,40,1,-0.6845,-0.1357,0.2044,0.0000,0.0000,0.9592,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,-0.3662,-0.0040,0.0144,1,0.013,1.100,0.688,,-0.6692,0.2083,0.0144,1,0.464,0.692,0.937,,-0.4102,-0.3281,0.0144,1,0.479,0.830,0.453,,-0.9589,0.0567,0.0144,1,0.662,0.883,0.504,,-0.6999,-0.4797,0.0144,1,0.015,0.905,1.101,,-1.0029,-0.2674,0.0144,1,0.546,0.972,0.579,
