# SLARC V8.10-freeze-poseodom | rise=0.150 run=0.280 | balance=AN foothold=AN freeze=AUS | G_Z=-0.120 G_STEP=0.060
t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,est_roll,est_pitch,est_yaw,est_height,frozen,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_force,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_right_th_c,front_right_th_f,front_right_th_t,front_right_rfx,front_right_rfy,front_right_rfz,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_force,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,front_left_th_c,front_left_th_f,front_left_th_t,front_left_rfx,front_left_rfy,front_left_rfz,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_force,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_right_th_c,mid_right_th_f,mid_right_th_t,mid_right_rfx,mid_right_rfy,mid_right_rfz,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_force,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,mid_left_th_c,mid_left_th_f,mid_left_th_t,mid_left_rfx,mid_left_rfy,mid_left_rfz,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_force,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_right_th_c,rear_right_th_f,rear_right_th_t,rear_right_rfx,rear_right_rfy,rear_right_rfz,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_force,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state,rear_left_th_c,rear_left_th_f,rear_left_th_t,rear_left_rfx,rear_left_rfy,rear_left_rfz
0.000,4,tripod,0.0007,0.0021,0.1343,-0.0004,0.0002,0.0041,0.0041,-0.0030,-0.0001,-0.0293,-0.0106,0.0113,0.000,0.000,-0.0005,0.0002,-0.0004,0.0002,0.0041,0.1198,0,0.2997,-0.1862,0.0144,1,3.41,0.171,0.057,0.598,,0.0001,-0.1723,1.7660,0.2983,-0.1895,-0.1200,0.3110,0.2008,0.0150,1,0.00,0.304,0.660,0.531,,0.0015,-0.1738,1.6752,0.3101,0.1967,-0.1194,0.0020,-0.3419,0.0145,1,0.08,0.101,0.045,0.019,,-0.0001,-0.1722,1.7660,-0.0000,-0.3440,-0.1200,-0.0008,0.3459,0.0141,1,2.86,0.758,0.430,1.081,,-0.0000,-0.1717,1.7659,0.0000,0.3439,-0.1201,-0.2969,-0.1887,0.0145,1,3.79,0.769,0.655,0.031,,-0.0000,-0.1722,1.7656,-0.2983,-0.1895,-0.1200,-0.3091,0.1972,0.0151,1,0.00,0.404,0.661,0.531,,-0.0019,-0.1740,1.6920,-0.3079,0.1955,-0.1195
0.039,8,tripod,0.0007,0.0021,0.1343,-0.0002,0.0002,0.0042,0.0007,0.0114,0.0043,0.0235,-0.0058,0.0642,0.000,0.000,-0.0004,0.0002,-0.0002,0.0002,0.0042,0.1198,0,0.2997,-0.1862,0.0144,1,4.58,0.579,1.168,0.528,,-0.0002,-0.1723,1.7659,0.2983,-0.1895,-0.1200,0.3108,0.2008,0.0151,1,0.00,0.333,0.702,0.560,,0.0015,-0.1739,1.6763,0.3099,0.1966,-0.1194,0.0020,-0.3420,0.0145,1,3.00,1.861,0.747,0.330,,-0.0004,-0.1723,1.7662,-0.0001,-0.3440,-0.1200,-0.0008,0.3460,0.0141,1,0.00,0.051,0.058,0.008,,-0.0001,-0.1716,1.7655,0.0000,0.3440,-0.1201,-0.2969,-0.1887,0.0145,1,1.15,0.096,0.477,0.377,,-0.0000,-0.1723,1.7655,-0.2984,-0.1895,-0.1200,-0.3083,0.1967,0.0150,1,5.29,1.533,2.838,2.321,,-0.0028,-0.1749,1.6893,-0.3082,0.1960,-0.1193
0.061,12,tripod,0.0007,0.0021,0.1343,-0.0001,0.0003,0.0042,0.0034,-0.0041,-0.0002,0.0052,0.0023,-0.0108,0.000,0.000,-0.0003,0.0002,-0.0001,0.0003,0.0042,0.1198,0,0.2998,-0.1862,0.0143,1,1.90,1.087,0.307,0.029,,0.0002,-0.1723,1.7658,0.2983,-0.1895,-0.1200,0.3087,0.1994,0.0148,1,1.18,0.034,0.016,0.031,,0.0017,-0.1741,1.6829,0.3091,0.1962,-0.1194,0.0021,-0.3419,0.0144,1,2.02,0.642,0.362,0.056,,0.0000,-0.1723,1.7660,0.0000,-0.3440,-0.1200,-0.0008,0.3460,0.0142,1,4.25,0.189,0.611,0.149,,-0.0000,-0.1717,1.7656,0.0000,0.3440,-0.1201,-0.2969,-0.1887,0.0145,1,1.08,0.699,0.155,0.008,,-0.0000,-0.1722,1.7656,-0.2983,-0.1895,-0.1200,-0.3063,0.1953,0.0148,1,1.28,0.240,0.544,0.536,,-0.0020,-0.1741,1.7056,-0.3061,0.1945,-0.1196
0.098,16,tripod,0.0007,0.0021,0.1344,0.0000,0.0003,0.0043,0.0002,0.0095,0.0047,0.0176,0.0051,0.0405,0.000,0.000,-0.0001,0.0002,0.0000,0.0003,0.0043,0.1198,0,0.2998,-0.1861,0.0143,1,4.86,0.564,1.186,0.476,,0.0001,-0.1723,1.7657,0.2983,-0.1895,-0.1200,0.3092,0.2000,0.0151,1,0.00,0.300,0.634,0.519,,0.0016,-0.1740,1.6885,0.3083,0.1957,-0.1195,0.0022,-0.3419,0.0144,1,2.96,1.846,0.733,0.316,,-0.0000,-0.1722,1.7661,-0.0000,-0.3439,-0.1200,-0.0008,0.3460,0.0143,1,0.00,0.043,0.074,0.013,,-0.0000,-0.1717,1.7657,0.0000,0.3439,-0.1201,-0.2969,-0.1887,0.0145,1,1.02,0.083,0.430,0.355,,0.0001,-0.1722,1.7656,-0.2983,-0.1895,-0.1200,-0.3054,0.1948,0.0148,1,5.29,1.411,2.872,2.464,,-0.0019,-0.1741,1.7151,-0.3049,0.1938,-0.1196
0.122,20,tripod,0.0007,0.0021,0.1344,0.0002,0.0004,0.0041,-0.0029,-0.0005,0.0010,0.0143,0.0029,-0.0096,0.000,0.000,-0.0000,0.0003,0.0002,0.0004,0.0041,0.1198,0,0.2998,-0.1861,0.0143,1,2.02,1.025,0.686,0.462,,0.0003,-0.1724,1.7660,0.2983,-0.1894,-0.1199,0.3083,0.1994,0.0150,1,2.38,0.626,1.210,0.983,,0.0024,-0.1750,1.6852,0.3088,0.1962,-0.1193,0.0021,-0.3418,0.0144,1,2.83,0.158,0.624,0.208,,0.0001,-0.1723,1.7660,0.0000,-0.3440,-0.1200,-0.0008,0.3461,0.0144,1,1.30,0.357,0.035,0.188,,-0.0000,-0.1715,1.7657,0.0000,0.3439,-0.1201,-0.2969,-0.1886,0.0145,1,1.42,0.771,0.128,0.096,,-0.0001,-0.1723,1.7656,-0.2984,-0.1895,-0.1200,-0.3046,0.1945,0.0150,1,2.68,0.658,1.381,1.146,,-0.0024,-0.1747,1.7186,-0.3044,0.1937,-0.1195
0.153,24,tripod,0.0007,0.0022,0.1344,0.0003,0.0004,0.0040,0.0010,0.0066,0.0012,0.0092,0.0033,-0.0171,0.000,0.000,0.0001,0.0003,0.0003,0.0004,0.0040,0.1199,0,0.2997,-0.1860,0.0143,1,1.55,0.726,0.447,0.267,,0.0004,-0.1724,1.7663,0.2983,-0.1894,-0.1199,0.3069,0.1984,0.0149,1,3.59,0.867,1.867,1.629,,0.0018,-0.1744,1.6988,0.3070,0.1950,-0.1195,0.0020,-0.3418,0.0143,1,2.42,0.364,1.040,0.804,,0.0001,-0.1723,1.7656,0.0000,-0.3440,-0.1200,-0.0008,0.3462,0.0144,1,0.03,0.011,0.036,0.005,,0.0000,-0.1717,1.7656,-0.0000,0.3440,-0.1201,-0.2969,-0.1885,0.0145,1,1.79,0.961,0.538,0.333,,-0.0000,-0.1722,1.7659,-0.2983,-0.1895,-0.1200,-0.3016,0.1927,0.0149,1,2.97,0.689,1.504,1.285,,-0.0015,-0.1738,1.7437,-0.3012,0.1916,-0.1197
0.176,28,tripod,0.0007,0.0023,0.1345,0.0005,0.0003,0.0039,-0.0014,0.0089,0.0024,0.0078,-0.0070,0.0052,0.000,0.000,0.0003,0.0003,0.0005,0.0003,0.0039,0.1199,0,0.2997,-0.1858,0.0143,1,0.58,0.292,0.138,0.094,,0.0007,-0.1723,1.7666,0.2983,-0.1893,-0.1199,0.3054,0.1977,0.0149,1,4.54,1.026,2.372,1.974,,0.0018,-0.1743,1.7115,0.3054,0.1941,-0.1196,0.0020,-0.3417,0.0143,1,2.97,1.376,1.159,0.836,,0.0003,-0.1722,1.7659,0.0001,-0.3440,-0.1200,-0.0007,0.3463,0.0146,1,0.00,0.015,0.032,0.000,,0.0000,-0.1716,1.7655,-0.0000,0.3440,-0.1201,-0.2970,-0.1883,0.0145,1,2.45,1.258,0.723,0.413,,0.0001,-0.1722,1.7655,-0.2983,-0.1895,-0.1200,-0.3000,0.1918,0.0148,1,2.04,0.497,1.026,0.865,,-0.0009,-0.1731,1.7545,-0.2998,0.1906,-0.1198
0.213,32,tripod,0.0005,0.0026,0.1345,0.0007,0.0001,0.0045,-0.0087,0.0242,0.0037,0.0148,-0.0090,0.0613,0.000,0.000,0.0004,0.0003,0.0007,0.0001,0.0045,0.1199,0,0.2997,-0.1855,0.0144,1,0.37,0.238,0.072,0.053,,0.0006,-0.1722,1.7661,0.2983,-0.1894,-0.1200,0.3036,0.1971,0.0150,1,4.46,0.816,2.396,2.017,,0.0015,-0.1743,1.7252,0.3036,0.1930,-0.1196,0.0022,-0.3412,0.0143,1,3.24,1.226,0.441,0.090,,0.0004,-0.1721,1.7664,0.0001,-0.3439,-0.1200,-0.0010,0.3466,0.0147,1,0.00,0.023,0.043,0.003,,0.0001,-0.1717,1.7655,-0.0000,0.3440,-0.1201,-0.2970,-0.1882,0.0145,1,3.17,1.213,1.138,0.780,,0.0001,-0.1722,1.7656,-0.2983,-0.1895,-0.1200,-0.2994,0.1914,0.0148,1,1.43,0.417,0.696,0.589,,-0.0005,-0.1725,1.7602,-0.2990,0.1900,-0.1199
0.235,36,tripod,0.0004,0.0030,0.1346,0.0008,-0.0000,0.0055,-0.0084,0.0239,0.0007,0.0014,-0.0061,0.0517,0.000,0.000,0.0006,0.0001,0.0008,-0.0000,0.0055,0.1200,0,0.2997,-0.1848,0.0144,1,0.61,0.337,0.143,0.089,,0.0004,-0.1721,1.7660,0.2983,-0.1894,-0.1200,0.3000,0.1957,0.0150,1,4.22,0.666,2.209,1.872,,0.0008,-0.1734,1.7507,0.3003,0.1909,-0.1198,0.0023,-0.3409,0.0143,1,1.99,0.929,0.691,0.474,,0.0002,-0.1721,1.7660,0.0000,-0.3440,-0.1200,-0.0015,0.3470,0.0148,1,0.00,0.009,0.029,0.001,,0.0000,-0.1719,1.7656,-0.0000,0.3440,-0.1200,-0.2969,-0.1881,0.0144,1,3.00,1.305,1.127,0.780,,0.0001,-0.1722,1.7655,-0.2983,-0.1895,-0.1200,-0.2992,0.1911,0.0147,1,1.93,0.686,0.889,0.719,,-0.0002,-0.1721,1.7641,-0.2985,0.1896,-0.1200
0.270,40,tripod,0.0003,0.0032,0.1346,0.0008,-0.0001,0.0057,-0.0016,0.0041,-0.0007,-0.0042,0.0004,0.0066,0.000,0.000,0.0007,0.0000,0.0008,-0.0001,0.0057,0.1200,0,0.2997,-0.1845,0.0145,1,1.67,0.180,0.166,0.096,,0.0001,-0.1721,1.7657,0.2983,-0.1895,-0.1200,0.2984,0.1951,0.0149,1,3.26,0.676,1.685,1.408,,0.0004,-0.1728,1.7598,0.2991,0.1901,-0.1199,0.0023,-0.3408,0.0143,1,1.88,0.375,0.688,0.484,,0.0000,-0.1721,1.7654,0.0000,-0.3440,-0.1200,-0.0016,0.3473,0.0148,1,1.21,0.563,0.036,0.260,,0.0001,-0.1720,1.7652,-0.0000,0.3441,-0.1200,-0.2970,-0.1880,0.0144,1,2.51,1.034,1.121,0.867,,0.0001,-0.1722,1.7650,-0.2984,-0.1896,-0.1200,-0.2992,0.1912,0.0147,1,2.15,0.495,1.088,0.908,,-0.0001,-0.1722,1.7643,-0.2985,0.1896,-0.1200
0.293,44,tripod,0.0003,0.0032,0.1346,0.0007,-0.0001,0.0057,-0.0005,0.0009,-0.0007,-0.0032,-0.0008,0.0006,0.000,0.000,0.0007,-0.0000,0.0007,-0.0001,0.0057,0.1200,0,0.2997,-0.1845,0.0145,1,1.91,0.696,0.491,0.231,,0.0000,-0.1721,1.7655,0.2983,-0.1895,-0.1200,0.2980,0.1948,0.0148,1,2.74,0.654,1.400,1.161,,0.0002,-0.1724,1.7626,0.2987,0.1898,-0.1199,0.0023,-0.3408,0.0143,1,2.03,0.145,0.864,0.660,,0.0000,-0.1721,1.7653,0.0000,-0.3441,-0.1200,-0.0017,0.3473,0.0148,1,1.62,0.261,0.591,0.418,,0.0000,-0.1720,1.7653,-0.0000,0.3440,-0.1200,-0.2970,-0.1880,0.0144,1,2.40,0.778,1.160,0.939,,0.0001,-0.1721,1.7650,-0.2984,-0.1896,-0.1200,-0.2992,0.1912,0.0147,1,2.03,0.536,1.008,0.836,,-0.0001,-0.1722,1.7645,-0.2985,0.1896,-0.1200
0.324,48,tripod,0.0003,0.0032,0.1345,0.0007,-0.0001,0.0057,0.0001,0.0004,-0.0007,-0.0032,0.0000,0.0003,0.000,0.000,0.0006,-0.0001,0.0007,-0.0001,0.0057,0.1200,0,0.2997,-0.1845,0.0145,1,2.01,0.616,0.523,0.245,,-0.0000,-0.1721,1.7655,0.2983,-0.1895,-0.1200,0.2978,0.1947,0.0147,1,2.33,0.580,1.170,0.971,,0.0002,-0.1723,1.7639,0.2986,0.1897,-0.1200,0.0023,-0.3408,0.0143,1,2.07,0.288,0.859,0.641,,0.0000,-0.1721,1.7653,0.0000,-0.3441,-0.1200,-0.0017,0.3473,0.0148,1,1.95,0.318,0.644,0.407,,0.0000,-0.1721,1.7653,-0.0000,0.3440,-0.1200,-0.2970,-0.1880,0.0144,1,2.23,0.707,1.084,0.882,,0.0000,-0.1721,1.7652,-0.2984,-0.1895,-0.1200,-0.2992,0.1912,0.0147,1,2.07,0.549,1.029,0.853,,-0.0001,-0.1722,1.7647,-0.2984,0.1896,-0.1200
0.347,52,tripod,0.0003,0.0032,0.1345,0.0006,-0.0001,0.0057,-0.0001,0.0004,-0.0008,-0.0032,-0.0001,0.0001,0.000,0.000,0.0006,-0.0001,0.0006,-0.0001,0.0057,0.1200,0,0.2997,-0.1845,0.0145,1,2.08,0.562,0.536,0.245,,0.0000,-0.1721,1.7655,0.2983,-0.1895,-0.1200,0.2977,0.1946,0.0147,1,2.06,0.507,1.035,0.862,,0.0001,-0.1722,1.7644,0.2985,0.1896,-0.1200,0.0023,-0.3408,0.0143,1,2.11,0.415,0.846,0.619,,0.0001,-0.1721,1.7653,0.0000,-0.3441,-0.1200,-0.0017,0.3473,0.0147,1,2.11,0.432,0.683,0.418,,-0.0000,-0.1721,1.7653,0.0000,0.3441,-0.1200,-0.2970,-0.1880,0.0144,1,2.20,0.659,1.078,0.882,,0.0000,-0.1721,1.7652,-0.2984,-0.1895,-0.1200,-0.2992,0.1911,0.0146,1,2.10,0.549,1.044,0.865,,-0.0001,-0.1722,1.7648,-0.2984,0.1896,-0.1200
0.388,56,tripod,0.0003,0.0032,0.1345,0.0003,-0.0001,0.0056,0.0002,0.0005,-0.0005,-0.0588,0.0069,-0.0345,0.000,0.000,0.0006,-0.0001,0.0003,-0.0001,0.0056,0.1200,0,0.2997,-0.1845,0.0144,1,2.05,0.390,0.492,0.215,STANCE,0.0004,-0.1718,1.7654,0.2984,-0.1894,-0.1200,0.2977,0.1946,0.0147,1,1.99,0.412,0.981,0.810,STANCE,0.0005,-0.1726,1.7649,0.2984,0.1897,-0.1199,0.0023,-0.3408,0.0143,1,2.23,0.390,0.873,0.641,STANCE,0.0003,-0.1715,1.7651,0.0001,-0.3440,-0.1201,-0.0017,0.3473,0.0147,1,2.03,0.401,0.642,0.396,STANCE,0.0002,-0.1726,1.7655,-0.0001,0.3441,-0.1199,-0.2970,-0.1880,0.0144,1,2.35,0.537,1.178,0.978,STANCE,0.0002,-0.1717,1.7650,-0.2983,-0.1896,-0.1201,-0.2992,0.1912,0.0146,1,2.00,0.555,0.978,0.807,STANCE,0.0000,-0.1724,1.7648,-0.2985,0.1896,-0.1199
