# SLARC V8.14-fwdpush | rise=0.150 run=0.280 | balance=AUS foothold=AUS freeze=AUS entry=AN | G_Z=-0.120 G_STEP=0.060
t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,est_roll,est_pitch,est_yaw,est_height,frozen,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_force,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_right_th_c,front_right_th_f,front_right_th_t,front_right_rfx,front_right_rfy,front_right_rfz,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_force,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,front_left_th_c,front_left_th_f,front_left_th_t,front_left_rfx,front_left_rfy,front_left_rfz,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_force,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_right_th_c,mid_right_th_f,mid_right_th_t,mid_right_rfx,mid_right_rfy,mid_right_rfz,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_force,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,mid_left_th_c,mid_left_th_f,mid_left_th_t,mid_left_rfx,mid_left_rfy,mid_left_rfz,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_force,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_right_th_c,rear_right_th_f,rear_right_th_t,rear_right_rfx,rear_right_rfy,rear_right_rfz,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_force,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state,rear_left_th_c,rear_left_th_f,rear_left_th_t,rear_left_rfx,rear_left_rfy,rear_left_rfz
0.000,4,placemove,0.5005,-0.0002,0.1339,-0.0015,0.0023,0.0028,0.0003,-0.0486,0.0584,0.1900,-0.1327,-0.1379,0.000,0.000,-0.0011,0.0011,-0.0015,0.0023,0.0028,0.1195,0,0.7940,-0.1972,0.0133,1,0.00,0.108,0.048,0.003,,-0.0509,-0.1717,1.7654,0.2922,-0.1994,-0.1201,0.8163,0.2121,0.0148,1,6.00,2.940,2.801,2.211,,0.0435,-0.1734,1.5937,0.3150,0.2119,-0.1181,0.5015,-0.3589,0.0149,1,1.35,0.159,0.516,0.479,,0.0012,-0.1733,1.6698,0.0003,-0.3585,-0.1194,0.4991,0.3437,0.0132,1,0.00,0.000,0.116,0.000,,0.0000,-0.1722,1.7657,-0.0000,0.3440,-0.1200,0.2000,-0.2053,0.0151,1,0.00,0.177,0.075,0.113,,0.0559,-0.1723,1.7097,-0.2986,-0.2050,-0.1199,0.1935,0.2066,0.0147,1,5.42,2.940,2.156,1.587,,-0.0555,-0.1724,1.6667,-0.3041,0.2085,-0.1195
0.022,8,placemove,0.5007,-0.0022,0.1347,-0.0007,0.0009,-0.0033,0.0160,-0.1720,0.0207,0.0432,-0.0757,-0.1565,0.000,0.000,-0.0007,0.0007,-0.0007,0.0009,-0.0033,0.1199,0,0.7845,-0.2132,0.0145,1,0.00,0.101,0.021,0.000,,-0.1176,-0.1720,1.7656,0.2835,-0.2120,-0.1200,0.8012,0.2159,0.0148,1,3.45,1.886,1.467,1.168,,0.1078,-0.1722,1.6587,0.2978,0.2196,-0.1195,0.4995,-0.3518,0.0149,1,1.55,0.216,0.786,0.753,,0.0002,-0.1723,1.7338,0.0000,-0.3488,-0.1200,0.5016,0.3421,0.0143,1,0.00,0.033,0.021,0.007,,0.0000,-0.1721,1.7656,-0.0000,0.3440,-0.1200,0.2149,-0.2130,0.0150,1,0.00,0.177,0.060,0.012,,0.1220,-0.1721,1.7602,-0.2836,-0.2133,-0.1200,0.2119,0.2135,0.0147,1,3.70,1.902,1.508,1.177,,-0.1199,-0.1721,1.7329,-0.2871,0.2154,-0.1200
0.044,12,placemove,0.5015,-0.0049,0.1348,-0.0002,0.0001,-0.0155,0.0836,-0.1036,-0.0001,0.0063,-0.0154,-1.3194,0.000,0.000,-0.0005,0.0005,-0.0002,0.0001,-0.0155,0.1200,0,0.7736,-0.2306,0.0148,1,0.00,0.148,0.024,0.010,,-0.1845,-0.1720,1.7656,0.2740,-0.2239,-0.1200,0.7869,0.2173,0.0148,1,2.58,0.713,1.303,1.156,,0.1738,-0.1724,1.7209,0.2807,0.2264,-0.1199,0.4969,-0.3491,0.0149,1,3.28,2.112,0.534,0.020,,-0.0000,-0.1721,1.7635,-0.0000,-0.3443,-0.1200,0.5057,0.3393,0.0147,1,0.15,0.235,0.002,0.006,,-0.0000,-0.1720,1.7656,0.0000,0.3440,-0.1200,0.2214,-0.2213,0.0149,1,4.16,2.940,0.691,0.008,,0.1700,-0.1721,1.7653,-0.2761,-0.2214,-0.1200,0.2290,0.2220,0.0148,1,1.07,0.929,0.190,0.065,,-0.1867,-0.1721,1.7637,-0.2738,0.2245,-0.1200
0.066,16,placemove,0.5035,-0.0057,0.1348,-0.0002,-0.0000,-0.0377,0.1355,-0.0327,-0.0017,0.0013,0.0002,-1.1630,0.000,0.000,-0.0003,0.0003,-0.0002,-0.0000,-0.0377,0.1200,0,0.7597,-0.2487,0.0148,1,1.65,0.994,0.174,0.083,,-0.2514,-0.1720,1.7656,0.2636,-0.2352,-0.1200,0.7787,0.2174,0.0147,1,2.95,2.035,0.671,0.264,,0.2399,-0.1722,1.7614,0.2659,0.2338,-0.1200,0.4911,-0.3494,0.0148,1,1.93,1.070,0.296,0.008,,-0.0000,-0.1720,1.7655,-0.0000,-0.3440,-0.1200,0.5154,0.3382,0.0147,1,1.67,0.916,0.206,0.049,,-0.0000,-0.1720,1.7656,0.0000,0.3440,-0.1200,0.2278,-0.2274,0.0148,1,2.41,1.716,0.513,0.147,,0.2360,-0.1721,1.7656,-0.2661,-0.2327,-0.1200,0.2470,0.2378,0.0147,1,2.00,1.212,0.436,0.145,,-0.2534,-0.1721,1.7655,-0.2633,0.2356,-0.1200
0.088,20,placemove,0.5056,-0.0060,0.1347,-0.0001,0.0000,-0.0465,0.1091,0.0038,-0.0017,0.0014,0.0030,-0.2775,0.000,0.000,-0.0002,0.0002,-0.0001,0.0000,-0.0465,0.1200,0,0.7479,-0.2619,0.0148,1,2.64,1.741,0.500,0.088,,-0.3180,-0.1721,1.7656,0.2526,-0.2458,-0.1200,0.7722,0.2247,0.0147,1,2.65,1.778,0.411,0.027,,0.3066,-0.1721,1.7654,0.2545,0.2440,-0.1200,0.4896,-0.3496,0.0148,1,2.10,0.784,0.214,0.135,,0.0000,-0.1720,1.7657,0.0000,-0.3440,-0.1200,0.5212,0.3376,0.0147,1,1.93,1.138,0.266,0.041,,-0.0000,-0.1720,1.7656,0.0000,0.3440,-0.1200,0.2379,-0.2361,0.0148,1,1.76,1.178,0.350,0.092,,0.3026,-0.1721,1.7656,-0.2552,-0.2434,-0.1200,0.2633,0.2502,0.0147,1,1.53,0.993,0.334,0.123,,-0.3201,-0.1721,1.7656,-0.2522,0.2461,-0.1200
0.110,24,placemove,0.5067,-0.0060,0.1347,-0.0001,0.0001,-0.0494,0.0306,-0.0002,-0.0015,0.0006,0.0029,-0.0802,0.000,0.000,-0.0001,0.0001,-0.0001,0.0001,-0.0494,0.1200,0,0.7362,-0.2720,0.0147,1,2.54,1.656,0.574,0.202,,-0.3847,-0.1721,1.7656,0.2409,-0.2556,-0.1200,0.7632,0.2344,0.0147,1,2.63,1.781,0.500,0.092,,0.3733,-0.1721,1.7656,0.2429,0.2539,-0.1200,0.4897,-0.3496,0.0148,1,2.12,0.906,0.274,0.069,,-0.0000,-0.1721,1.7656,-0.0000,-0.3440,-0.1200,0.5235,0.3376,0.0147,1,2.11,1.242,0.296,0.041,,-0.0000,-0.1721,1.7656,0.0000,0.3440,-0.1200,0.2494,-0.2458,0.0148,1,1.60,1.095,0.300,0.067,,0.3692,-0.1721,1.7656,-0.2436,-0.2534,-0.1200,0.2774,0.2603,0.0147,1,1.66,1.056,0.400,0.171,,-0.3867,-0.1721,1.7656,-0.2405,0.2558,-0.1200
0.133,28,placemove,0.5068,-0.0060,0.1347,-0.0001,0.0001,-0.0495,-0.0002,-0.0001,-0.0014,0.0007,0.0002,0.0006,0.000,0.000,-0.0001,0.0001,-0.0001,0.0001,-0.0495,0.1200,0,0.7235,-0.2805,0.0147,1,2.17,1.418,0.548,0.243,,-0.4515,-0.1721,1.7656,0.2285,-0.2646,-0.1200,0.7517,0.2442,0.0146,1,2.24,1.479,0.485,0.155,,0.4399,-0.1721,1.7656,0.2307,0.2631,-0.1200,0.4897,-0.3495,0.0147,1,2.16,0.103,0.228,0.120,,-0.0000,-0.1721,1.7657,-0.0000,-0.3440,-0.1200,0.5238,0.3376,0.0147,1,2.10,0.130,0.276,0.059,,-0.0000,-0.1720,1.7656,0.0000,0.3440,-0.1200,0.2611,-0.2556,0.0147,1,1.99,1.321,0.453,0.165,,0.4358,-0.1721,1.7656,-0.2314,-0.2625,-0.1200,0.2904,0.2688,0.0147,1,2.03,1.334,0.506,0.223,,-0.4533,-0.1721,1.7656,-0.2282,0.2648,-0.1200
0.155,32,placemove,0.5068,-0.0060,0.1347,-0.0001,0.0001,-0.0495,-0.0001,0.0004,-0.0013,0.0003,-0.0002,0.0016,0.000,0.000,-0.0001,0.0001,-0.0001,0.0001,-0.0495,0.1200,0,0.7106,-0.2879,0.0147,1,2.14,0.760,0.551,0.253,,-0.5128,-0.1721,1.7656,0.2166,-0.2721,-0.1200,0.7394,0.2532,0.0146,1,2.19,1.204,0.507,0.196,,0.5059,-0.1721,1.7656,0.2180,0.2713,-0.1200,0.4897,-0.3495,0.0147,1,2.07,0.586,0.247,0.088,,-0.0000,-0.1720,1.7657,-0.0000,-0.3440,-0.1200,0.5238,0.3376,0.0146,1,2.17,0.471,0.242,0.118,,-0.0000,-0.1720,1.7656,0.0000,0.3440,-0.1200,0.2734,-0.2646,0.0147,1,2.02,1.333,0.492,0.207,,0.5024,-0.1721,1.7656,-0.2187,-0.2709,-0.1200,0.3032,0.2761,0.0147,1,2.09,0.784,0.529,0.238,,-0.5136,-0.1721,1.7656,-0.2165,0.2722,-0.1200
0.177,36,placemove,0.5068,-0.0060,0.1346,-0.0001,0.0001,-0.0495,0.0002,-0.0001,-0.0012,0.0006,0.0004,-0.0007,0.000,0.000,-0.0000,0.0000,-0.0001,0.0001,-0.0495,0.1200,0,0.7077,-0.2895,0.0147,1,2.25,1.329,0.576,0.259,,-0.5230,-0.1721,1.7656,0.2146,-0.2733,-0.1200,0.7348,0.2562,0.0146,1,2.20,1.287,0.547,0.233,,0.5226,-0.1721,1.7656,0.2147,0.2732,-0.1200,0.4897,-0.3495,0.0147,1,2.14,0.189,0.235,0.109,,-0.0000,-0.1721,1.7657,-0.0000,-0.3440,-0.1200,0.5238,0.3376,0.0146,1,2.10,0.071,0.265,0.072,,-0.0000,-0.1720,1.7656,0.0000,0.3440,-0.1200,0.2787,-0.2681,0.0147,1,1.99,1.149,0.495,0.216,,0.5223,-0.1721,1.7656,-0.2148,-0.2732,-0.1200,0.3059,0.2775,0.0146,1,1.98,1.169,0.500,0.227,,-0.5230,-0.1721,1.7656,-0.2146,0.2733,-0.1200
0.199,40,placemove,0.5068,-0.0060,0.1346,-0.0001,0.0001,-0.0495,-0.0001,0.0002,-0.0012,0.0002,0.0006,-0.0019,0.000,0.000,-0.0000,0.0000,-0.0001,0.0001,-0.0495,0.1200,0,0.7075,-0.2896,0.0146,1,2.24,1.314,0.570,0.252,,-0.5236,-0.1721,1.7656,0.2145,-0.2733,-0.1200,0.7346,0.2564,0.0146,1,2.19,1.057,0.522,0.205,,0.5235,-0.1721,1.7655,0.2145,0.2733,-0.1200,0.4897,-0.3495,0.0147,1,2.15,0.237,0.270,0.073,,0.0000,-0.1720,1.7656,0.0000,-0.3440,-0.1200,0.5238,0.3376,0.0146,1,2.17,0.112,0.251,0.105,,-0.0000,-0.1721,1.7657,0.0000,0.3440,-0.1200,0.2790,-0.2683,0.0147,1,1.95,1.046,0.544,0.284,,0.5235,-0.1721,1.7655,-0.2145,-0.2733,-0.1200,0.3060,0.2776,0.0146,1,1.97,1.089,0.532,0.267,,-0.5235,-0.1721,1.7655,-0.2145,0.2733,-0.1200
