# SLARC V8.18-climblift | rise=0.170 run=0.280 | balance=AN foothold=AN freeze=AUS entry=AN | G_Z=-0.120 G_STEP=0.060
t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,est_roll,est_pitch,est_yaw,est_height,frozen,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_force,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_right_th_c,front_right_th_f,front_right_th_t,front_right_rfx,front_right_rfy,front_right_rfz,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_force,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,front_left_th_c,front_left_th_f,front_left_th_t,front_left_rfx,front_left_rfy,front_left_rfz,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_force,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_right_th_c,mid_right_th_f,mid_right_th_t,mid_right_rfx,mid_right_rfy,mid_right_rfz,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_force,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,mid_left_th_c,mid_left_th_f,mid_left_th_t,mid_left_rfx,mid_left_rfy,mid_left_rfz,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_force,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_right_th_c,rear_right_th_f,rear_right_th_t,rear_right_rfx,rear_right_rfy,rear_right_rfz,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_force,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state,rear_left_th_c,rear_left_th_f,rear_left_th_t,rear_left_rfx,rear_left_rfy,rear_left_rfz
0.000,4,placemove,0.6148,-0.0012,0.1327,-0.0001,0.0049,0.0189,0.0095,0.0012,0.0326,0.0021,0.0217,0.0035,0.000,0.000,-0.0001,0.0051,-0.0001,0.0049,0.0189,0.1184,0,0.9145,-0.1998,0.0128,1,0.00,0.102,0.032,0.016,,-0.0667,-0.1810,1.7324,0.2953,-0.2058,-0.1185,0.9074,0.2091,0.0128,1,0.00,0.101,0.032,0.017,,0.0667,-0.1813,1.7281,0.2958,0.2062,-0.1184,0.6210,-0.3516,0.0148,1,6.06,0.011,1.574,0.695,,0.0008,-0.1841,1.7334,0.0002,-0.3503,-0.1179,0.6078,0.3493,0.0148,1,5.97,0.011,1.590,0.726,,-0.0009,-0.1847,1.7331,0.0002,0.3504,-0.1178,0.3136,-0.1999,0.0152,1,0.00,0.002,0.031,0.013,,0.0000,-0.1782,1.7256,-0.3041,-0.1929,-0.1189,0.3061,0.1861,0.0152,1,0.00,0.002,0.030,0.014,,0.0000,-0.1785,1.7246,-0.3043,0.1930,-0.1189
0.022,8,placemove,0.6149,-0.0012,0.1332,-0.0000,0.0050,0.0189,0.0045,0.0003,0.0249,0.0018,0.0063,0.0028,0.000,0.000,-0.0001,0.0059,-0.0000,0.0050,0.0189,0.1187,0,0.9047,-0.2120,0.0129,1,0.00,0.101,0.031,0.013,,-0.1333,-0.1790,1.7396,0.2851,-0.2177,-0.1188,0.8969,0.2208,0.0129,1,0.00,0.100,0.031,0.014,,0.1334,-0.1793,1.7362,0.2855,0.2181,-0.1188,0.6210,-0.3502,0.0148,1,6.13,0.044,1.606,0.714,,0.0006,-0.1816,1.7402,0.0001,-0.3489,-0.1184,0.6078,0.3479,0.0148,1,6.04,0.044,1.621,0.742,,-0.0007,-0.1821,1.7401,0.0002,0.3490,-0.1183,0.3149,-0.1991,0.0155,1,0.00,0.001,0.032,0.011,,0.0000,-0.1769,1.7343,-0.3029,-0.1921,-0.1192,0.3075,0.1854,0.0155,1,0.00,0.001,0.032,0.011,,0.0000,-0.1771,1.7334,-0.3030,0.1922,-0.1191
0.042,12,placemove,0.6149,-0.0012,0.1335,-0.0000,0.0051,0.0190,0.0028,-0.0003,0.0190,0.0014,0.0024,0.0022,0.000,0.000,-0.0001,0.0059,-0.0000,0.0051,0.0190,0.1190,0,0.8944,-0.2236,0.0130,1,0.00,0.101,0.031,0.011,,-0.2000,-0.1775,1.7453,0.2744,-0.2291,-0.1191,0.8860,0.2320,0.0130,1,0.00,0.100,0.031,0.012,,0.2000,-0.1777,1.7426,0.2747,0.2294,-0.1191,0.6210,-0.3491,0.0148,1,6.16,0.059,1.619,0.718,,0.0005,-0.1796,1.7456,0.0001,-0.3479,-0.1187,0.6078,0.3468,0.0148,1,6.12,0.060,1.628,0.734,,-0.0005,-0.1800,1.7456,0.0001,0.3480,-0.1187,0.3160,-0.1985,0.0156,1,0.00,0.000,0.033,0.008,,0.0000,-0.1758,1.7411,-0.3019,-0.1916,-0.1194,0.3086,0.1848,0.0157,1,0.00,0.000,0.033,0.009,,0.0000,-0.1760,1.7404,-0.3020,0.1916,-0.1194
0.063,16,placemove,0.6150,-0.0012,0.1338,0.0000,0.0051,0.0190,0.0011,-0.0005,0.0145,0.0012,-0.0007,0.0017,0.000,0.000,-0.0000,0.0058,0.0000,0.0051,0.0190,0.1192,0,0.8835,-0.2346,0.0131,1,0.00,0.023,0.032,0.010,,-0.2662,-0.1764,1.7497,0.2633,-0.2397,-0.1193,0.8746,0.2425,0.0131,1,0.00,0.023,0.032,0.010,,0.2662,-0.1765,1.7476,0.2635,0.2399,-0.1193,0.6210,-0.3483,0.0148,1,6.18,0.098,1.633,0.727,,0.0004,-0.1780,1.7497,0.0001,-0.3471,-0.1190,0.6079,0.3460,0.0148,1,6.19,0.099,1.630,0.722,,-0.0004,-0.1783,1.7499,0.0001,0.3471,-0.1190,0.3168,-0.1980,0.0158,1,0.00,0.001,0.033,0.006,,0.0000,-0.1750,1.7464,-0.3011,-0.1911,-0.1195,0.3095,0.1843,0.0158,1,0.00,0.001,0.033,0.007,,0.0000,-0.1752,1.7458,-0.3012,0.1912,-0.1195
0.084,20,placemove,0.6150,-0.0012,0.1340,0.0000,0.0051,0.0190,0.0000,0.0001,0.0112,0.0010,-0.0041,0.0013,0.000,0.000,-0.0000,0.0055,0.0000,0.0051,0.0190,0.1193,0,0.8736,-0.2434,0.0132,1,0.00,0.018,0.032,0.007,,-0.3218,-0.1754,1.7531,0.2534,-0.2481,-0.1195,0.8643,0.2510,0.0133,1,0.00,0.019,0.032,0.008,,0.3219,-0.1755,1.7514,0.2536,0.2483,-0.1194,0.6210,-0.3476,0.0148,1,6.17,0.137,1.645,0.738,,0.0003,-0.1768,1.7530,0.0001,-0.3465,-0.1192,0.6079,0.3453,0.0148,1,6.27,0.138,1.627,0.706,,-0.0003,-0.1770,1.7532,0.0001,0.3465,-0.1192,0.3175,-0.1977,0.0159,1,0.00,0.001,0.033,0.005,,0.0000,-0.1744,1.7506,-0.3005,-0.1908,-0.1196,0.3101,0.1839,0.0159,1,0.00,0.000,0.033,0.005,,0.0000,-0.1745,1.7501,-0.3006,0.1908,-0.1196
0.105,24,placemove,0.6150,-0.0012,0.1342,0.0000,0.0050,0.0191,0.0000,0.0010,0.0085,0.0008,-0.0032,0.0010,0.000,0.000,0.0000,0.0052,0.0000,0.0050,0.0191,0.1195,0,0.8655,-0.2500,0.0133,1,0.00,0.014,0.032,0.005,,-0.3655,-0.1747,1.7558,0.2454,-0.2542,-0.1196,0.8560,0.2572,0.0134,1,0.00,0.015,0.032,0.006,,0.3655,-0.1748,1.7545,0.2456,0.2544,-0.1196,0.6210,-0.3471,0.0148,1,6.19,0.132,1.649,0.737,,0.0003,-0.1759,1.7556,0.0001,-0.3460,-0.1194,0.6078,0.3448,0.0148,1,6.29,0.133,1.631,0.705,,-0.0003,-0.1760,1.7558,0.0001,0.3459,-0.1193,0.3180,-0.1974,0.0159,1,0.00,0.001,0.033,0.004,,0.0000,-0.1739,1.7538,-0.3000,-0.1905,-0.1197,0.3106,0.1836,0.0159,1,0.00,0.000,0.033,0.004,,0.0000,-0.1740,1.7534,-0.3001,0.1905,-0.1197
0.127,28,placemove,0.6150,-0.0011,0.1343,0.0000,0.0050,0.0191,0.0000,0.0017,0.0065,0.0006,-0.0025,0.0007,0.000,0.000,0.0000,0.0050,0.0000,0.0050,0.0191,0.1195,0,0.8590,-0.2548,0.0134,1,0.00,0.011,0.033,0.004,,-0.3997,-0.1742,1.7579,0.2390,-0.2588,-0.1197,0.8492,0.2618,0.0134,1,0.00,0.012,0.033,0.004,,0.3997,-0.1742,1.7569,0.2391,0.2589,-0.1197,0.6210,-0.3467,0.0148,1,6.21,0.127,1.652,0.736,,0.0002,-0.1751,1.7576,0.0000,-0.3456,-0.1195,0.6078,0.3444,0.0148,1,6.31,0.128,1.635,0.704,,-0.0002,-0.1753,1.7579,0.0001,0.3455,-0.1195,0.3184,-0.1971,0.0160,1,0.00,0.000,0.033,0.003,,0.0000,-0.1735,1.7564,-0.2997,-0.1903,-0.1198,0.3110,0.1834,0.0160,1,0.00,0.000,0.033,0.003,,0.0000,-0.1735,1.7561,-0.2997,0.1903,-0.1198
0.148,32,placemove,0.6150,-0.0011,0.1344,0.0001,0.0049,0.0191,-0.0002,0.0025,0.0047,0.0006,-0.0016,0.0000,0.000,0.000,0.0000,0.0048,0.0001,0.0049,0.0191,0.1196,0,0.8537,-0.2584,0.0135,1,0.00,0.009,0.033,0.003,,-0.4264,-0.1737,1.7596,0.2338,-0.2622,-0.1197,0.8438,0.2652,0.0135,1,0.00,0.010,0.033,0.003,,0.4265,-0.1737,1.7588,0.2339,0.2623,-0.1197,0.6210,-0.3464,0.0148,1,6.20,0.099,1.642,0.728,,0.0002,-0.1746,1.7591,0.0000,-0.3453,-0.1196,0.6078,0.3441,0.0148,1,6.28,0.104,1.629,0.703,,-0.0002,-0.1747,1.7595,0.0000,0.3452,-0.1196,0.3187,-0.1969,0.0160,1,0.00,0.001,0.033,0.003,,0.0000,-0.1732,1.7584,-0.2994,-0.1901,-0.1198,0.3114,0.1833,0.0160,1,0.00,0.000,0.034,0.003,,0.0000,-0.1732,1.7581,-0.2994,0.1901,-0.1198
0.169,36,placemove,0.6150,-0.0010,0.1344,0.0001,0.0049,0.0191,-0.0005,0.0033,0.0033,0.0004,-0.0017,0.0001,0.000,0.000,0.0000,0.0047,0.0001,0.0049,0.0191,0.1197,0,0.8496,-0.2611,0.0135,1,0.00,0.006,0.035,0.002,,-0.4474,-0.1734,1.7609,0.2297,-0.2647,-0.1198,0.8395,0.2678,0.0135,1,0.00,0.008,0.033,0.002,,0.4475,-0.1733,1.7602,0.2298,0.2648,-0.1198,0.6210,-0.3461,0.0148,1,6.27,0.117,1.662,0.736,,0.0002,-0.1742,1.7602,0.0000,-0.3451,-0.1197,0.6078,0.3439,0.0148,1,6.35,0.116,1.643,0.704,,-0.0002,-0.1742,1.7607,0.0000,0.3450,-0.1196,0.3189,-0.1967,0.0160,1,0.00,0.000,0.034,0.002,,0.0000,-0.1730,1.7600,-0.2991,-0.1900,-0.1199,0.3116,0.1832,0.0160,1,0.00,0.000,0.033,0.002,,0.0000,-0.1730,1.7597,-0.2992,0.1900,-0.1199
0.189,40,placemove,0.6150,-0.0010,0.1345,0.0001,0.0049,0.0191,-0.0004,0.0035,0.0024,-0.0002,-0.0017,0.0005,0.000,0.000,0.0001,0.0046,0.0001,0.0049,0.0191,0.1197,0,0.8463,-0.2631,0.0135,1,0.12,0.025,0.009,0.006,,-0.4639,-0.1730,1.7619,0.2265,-0.2667,-0.1198,0.8361,0.2698,0.0135,1,0.04,0.011,0.026,0.003,,0.4640,-0.1730,1.7614,0.2265,0.2668,-0.1199,0.6210,-0.3458,0.0148,1,6.04,0.088,1.602,0.711,,0.0002,-0.1739,1.7611,0.0000,-0.3449,-0.1197,0.6078,0.3438,0.0148,1,6.33,0.099,1.571,0.623,,-0.0002,-0.1739,1.7616,0.0000,0.3448,-0.1197,0.3191,-0.1966,0.0160,1,0.00,0.001,0.033,0.002,,0.0000,-0.1728,1.7613,-0.2990,-0.1899,-0.1199,0.3118,0.1832,0.0160,1,0.00,0.002,0.033,0.002,,0.0000,-0.1728,1.7610,-0.2990,0.1899,-0.1199
0.210,44,placemove,0.6150,-0.0009,0.1345,0.0001,0.0048,0.0191,-0.0004,0.0023,0.0018,-0.0002,-0.0020,0.0002,0.000,0.000,0.0001,0.0045,0.0001,0.0048,0.0191,0.1197,0,0.8437,-0.2646,0.0135,1,0.15,0.029,0.002,0.007,,-0.4768,-0.1728,1.7627,0.2239,-0.2682,-0.1199,0.8334,0.2714,0.0135,1,0.13,0.024,0.008,0.006,,0.4769,-0.1727,1.7624,0.2239,0.2682,-0.1199,0.6210,-0.3457,0.0147,1,6.08,0.084,1.606,0.709,,0.0002,-0.1736,1.7617,0.0001,-0.3448,-0.1197,0.6078,0.3438,0.0148,1,6.27,0.089,1.581,0.648,,-0.0002,-0.1737,1.7616,0.0000,0.3448,-0.1197,0.3192,-0.1964,0.0160,1,0.00,0.000,0.034,0.001,,0.0000,-0.1726,1.7622,-0.2988,-0.1898,-0.1199,0.3119,0.1831,0.0161,1,0.00,0.000,0.034,0.001,,0.0001,-0.1726,1.7620,-0.2989,0.1898,-0.1199
