# SLARC V8.20-worldlift | rise=0.150 run=0.280 | balance=AN foothold=AN freeze=AUS entry=AN | G_Z=-0.120 G_STEP=0.060
t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,est_roll,est_pitch,est_yaw,est_height,frozen,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_force,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_right_th_c,front_right_th_f,front_right_th_t,front_right_rfx,front_right_rfy,front_right_rfz,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_force,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,front_left_th_c,front_left_th_f,front_left_th_t,front_left_rfx,front_left_rfy,front_left_rfz,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_force,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_right_th_c,mid_right_th_f,mid_right_th_t,mid_right_rfx,mid_right_rfy,mid_right_rfz,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_force,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,mid_left_th_c,mid_left_th_f,mid_left_th_t,mid_left_rfx,mid_left_rfy,mid_left_rfz,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_force,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_right_th_c,rear_right_th_f,rear_right_th_t,rear_right_rfx,rear_right_rfy,rear_right_rfz,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_force,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state,rear_left_th_c,rear_left_th_f,rear_left_th_t,rear_left_rfx,rear_left_rfy,rear_left_rfz
0.000,4,placemove,0.5904,0.0011,0.1466,0.0016,-0.0023,-0.0060,0.0277,0.0025,0.0218,0.0312,-0.0796,0.0027,0.000,0.000,0.0008,0.0010,0.0016,-0.0023,-0.0060,0.1200,0,0.8807,-0.2013,0.0269,1,0.00,0.100,0.002,0.004,,-0.0667,-0.1721,1.7656,0.2903,-0.2025,-0.1200,0.8831,0.2004,0.0275,1,0.00,0.100,0.001,0.004,,0.0667,-0.1721,1.7656,0.2903,0.2025,-0.1200,0.5885,-0.3427,0.0260,1,0.00,0.001,0.000,0.000,,0.0000,-0.1721,1.7656,0.0000,-0.3440,-0.1200,0.5926,0.3453,0.0271,1,0.00,0.001,0.000,0.000,,-0.0000,-0.1721,1.7656,0.0000,0.3440,-0.1200,0.2911,-0.1864,0.0257,1,0.00,0.001,0.000,0.000,,-0.0000,-0.1721,1.7656,-0.2983,-0.1895,-0.1200,0.2934,0.1926,0.0263,1,0.00,0.001,0.000,0.000,,-0.0000,-0.1721,1.7656,-0.2983,0.1895,-0.1200
0.020,8,placemove,0.5909,0.0012,0.1455,0.0022,-0.0036,-0.0059,0.0302,0.0025,-0.1415,0.0306,-0.0831,0.0027,0.000,0.000,0.0013,-0.0002,0.0022,-0.0036,-0.0059,0.1200,0,0.8725,-0.2136,0.0263,1,0.00,0.100,0.002,0.004,,-0.1333,-0.1721,1.7656,0.2813,-0.2148,-0.1200,0.8750,0.2131,0.0272,1,0.00,0.100,0.001,0.004,,0.1333,-0.1721,1.7656,0.2813,0.2148,-0.1200,0.5892,-0.3426,0.0250,1,0.00,0.001,0.000,0.000,,0.0000,-0.1721,1.7656,0.0000,-0.3440,-0.1200,0.5933,0.3454,0.0265,1,0.00,0.001,0.000,0.000,,-0.0000,-0.1721,1.7656,0.0000,0.3440,-0.1200,0.2918,-0.1863,0.0243,1,0.00,0.001,0.000,0.000,,-0.0000,-0.1721,1.7656,-0.2983,-0.1895,-0.1200,0.2940,0.1927,0.0251,1,0.00,0.001,0.000,0.000,,-0.0000,-0.1721,1.7656,-0.2983,0.1895,-0.1200
0.039,12,placemove,0.5914,0.0012,0.1416,0.0027,-0.0051,-0.0059,0.0326,0.0025,-0.3048,0.0301,-0.0868,0.0026,0.000,0.000,0.0018,-0.0017,0.0027,-0.0051,-0.0059,0.1200,0,0.8635,-0.2253,0.0229,1,0.00,0.100,0.002,0.004,,-0.2000,-0.1721,1.7656,0.2716,-0.2266,-0.1200,0.8661,0.2251,0.0241,1,0.00,0.100,0.002,0.004,,0.2000,-0.1721,1.7656,0.2716,0.2266,-0.1200,0.5899,-0.3425,0.0213,1,0.00,0.001,0.000,0.000,,0.0000,-0.1721,1.7656,0.0000,-0.3440,-0.1200,0.5939,0.3455,0.0231,1,0.00,0.001,0.000,0.000,,-0.0000,-0.1721,1.7656,0.0000,0.3440,-0.1200,0.2925,-0.1862,0.0203,1,0.00,0.001,0.000,0.000,,-0.0000,-0.1721,1.7656,-0.2983,-0.1895,-0.1200,0.2947,0.1928,0.0213,1,0.00,0.001,0.000,0.000,,-0.0000,-0.1721,1.7656,-0.2983,0.1895,-0.1200
0.058,16,placemove,0.5921,0.0013,0.1352,0.0010,-0.0020,-0.0059,0.0588,0.0217,-0.4116,-0.5145,1.0572,-0.0153,0.000,0.000,0.0022,-0.0033,0.0010,-0.0020,-0.0059,0.1200,0,0.8535,-0.2364,0.0167,1,0.00,0.095,0.025,0.008,,-0.2667,-0.1721,1.7656,0.2611,-0.2377,-0.1200,0.8563,0.2364,0.0176,1,0.00,0.094,0.084,0.011,,0.2667,-0.1721,1.7656,0.2611,0.2377,-0.1200,0.5904,-0.3425,0.0153,1,0.00,0.004,0.050,0.002,,0.0000,-0.1721,1.7656,0.0000,-0.3440,-0.1200,0.5945,0.3455,0.0168,1,0.00,0.016,0.028,0.002,,-0.0000,-0.1721,1.7656,0.0000,0.3440,-0.1200,0.2932,-0.1861,0.0144,1,4.52,0.062,0.157,0.611,,-0.0000,-0.1721,1.7664,-0.2982,-0.1894,-0.1200,0.2952,0.1928,0.0152,1,0.00,0.022,0.069,0.005,,-0.0000,-0.1721,1.7656,-0.2983,0.1895,-0.1200
0.081,20,placemove,0.5930,0.0015,0.1344,-0.0005,0.0011,-0.0073,0.0409,-0.0040,0.0066,0.0006,-0.0169,-0.1259,0.000,0.000,0.0010,-0.0010,-0.0005,0.0011,-0.0073,0.1200,0,0.8442,-0.2456,0.0143,1,0.21,0.133,0.014,0.007,,-0.3229,-0.1722,1.7657,0.2517,-0.2465,-0.1200,0.8483,0.2443,0.0140,1,2.49,0.514,0.378,0.016,,0.3186,-0.1722,1.7657,0.2525,0.2459,-0.1200,0.5903,-0.3426,0.0146,1,4.63,0.117,0.534,0.282,,-0.0000,-0.1723,1.7657,-0.0000,-0.3440,-0.1200,0.5952,0.3454,0.0143,1,2.57,0.396,0.400,0.009,,0.0000,-0.1722,1.7657,-0.0000,0.3440,-0.1200,0.2931,-0.1859,0.0148,1,0.15,0.019,0.003,0.008,,-0.0000,-0.1721,1.7657,-0.2983,-0.1895,-0.1200,0.2958,0.1930,0.0147,1,1.01,0.144,0.173,0.038,,-0.0000,-0.1720,1.7656,-0.2983,0.1895,-0.1200
0.106,24,placemove,0.5934,0.0014,0.1345,-0.0004,0.0010,-0.0085,0.0172,-0.0078,0.0021,0.0039,-0.0057,-0.0308,0.000,0.000,0.0002,0.0002,-0.0004,0.0010,-0.0085,0.1200,0,0.8326,-0.2557,0.0144,1,2.18,0.450,0.339,0.004,,-0.3896,-0.1721,1.7656,0.2400,-0.2562,-0.1200,0.8376,0.2538,0.0141,1,2.75,0.554,0.414,0.018,,0.3853,-0.1721,1.7656,0.2407,0.2556,-0.1200,0.5904,-0.3426,0.0146,1,2.57,0.314,0.347,0.075,,-0.0000,-0.1721,1.7656,-0.0000,-0.3440,-0.1200,0.5962,0.3454,0.0143,1,2.39,0.366,0.377,0.001,,0.0000,-0.1721,1.7656,-0.0000,0.3440,-0.1200,0.2934,-0.1856,0.0149,1,1.30,0.023,0.310,0.143,,0.0000,-0.1721,1.7656,-0.2983,-0.1895,-0.1200,0.2966,0.1934,0.0147,1,1.38,0.135,0.286,0.101,,-0.0000,-0.1721,1.7656,-0.2983,0.1895,-0.1200
0.129,28,placemove,0.5935,0.0014,0.1345,-0.0004,0.0009,-0.0087,-0.0007,-0.0004,0.0016,0.0035,-0.0051,0.0000,0.000,0.000,-0.0001,0.0007,-0.0004,0.0009,-0.0087,0.1200,0,0.8203,-0.2648,0.0144,1,2.24,0.454,0.361,0.018,,-0.4562,-0.1721,1.7656,0.2276,-0.2652,-0.1200,0.8257,0.2628,0.0142,1,2.56,0.505,0.396,0.001,,0.4520,-0.1721,1.7656,0.2284,0.2646,-0.1200,0.5904,-0.3427,0.0146,1,2.33,0.241,0.347,0.025,,-0.0000,-0.1721,1.7656,-0.0000,-0.3440,-0.1200,0.5964,0.3453,0.0144,1,2.32,0.299,0.373,0.010,,-0.0000,-0.1721,1.7656,0.0000,0.3440,-0.1200,0.2935,-0.1856,0.0148,1,1.59,0.053,0.276,0.040,,0.0000,-0.1721,1.7656,-0.2983,-0.1895,-0.1200,0.2967,0.1934,0.0147,1,1.60,0.035,0.230,0.014,,-0.0000,-0.1721,1.7656,-0.2983,0.1895,-0.1200
0.153,32,placemove,0.5935,0.0013,0.1345,-0.0003,0.0008,-0.0087,-0.0011,-0.0003,0.0016,0.0028,-0.0077,0.0000,0.000,0.000,-0.0003,0.0009,-0.0003,0.0008,-0.0087,0.1200,0,0.8080,-0.2724,0.0144,1,1.82,0.135,0.294,0.022,,-0.5148,-0.1721,1.7656,0.2162,-0.2723,-0.1200,0.8132,0.2710,0.0143,1,1.98,0.206,0.313,0.014,,0.5130,-0.1721,1.7656,0.2166,0.2721,-0.1200,0.5904,-0.3427,0.0146,1,2.14,0.132,0.310,0.029,,-0.0000,-0.1721,1.7656,-0.0000,-0.3440,-0.1200,0.5964,0.3453,0.0144,1,2.24,0.235,0.327,0.030,,-0.0000,-0.1721,1.7656,0.0000,0.3440,-0.1200,0.2935,-0.1856,0.0148,1,2.21,0.049,0.305,0.058,,0.0000,-0.1721,1.7656,-0.2983,-0.1895,-0.1200,0.2967,0.1934,0.0147,1,2.27,0.047,0.270,0.108,,-0.0000,-0.1721,1.7656,-0.2983,0.1895,-0.1200
0.176,36,placemove,0.5935,0.0013,0.1346,-0.0003,0.0007,-0.0087,-0.0006,-0.0003,0.0014,0.0024,-0.0045,0.0000,0.000,0.000,-0.0003,0.0008,-0.0003,0.0007,-0.0087,0.1200,0,0.8057,-0.2738,0.0145,1,2.45,0.361,0.411,0.031,,-0.5231,-0.1721,1.7656,0.2146,-0.2733,-0.1200,0.8104,0.2727,0.0143,1,2.54,0.370,0.412,0.018,,0.5230,-0.1721,1.7656,0.2146,0.2732,-0.1200,0.5904,-0.3427,0.0147,1,2.13,0.222,0.304,0.034,,-0.0000,-0.1721,1.7656,-0.0000,-0.3440,-0.1200,0.5964,0.3453,0.0145,1,2.21,0.228,0.325,0.025,,-0.0000,-0.1721,1.7656,0.0000,0.3440,-0.1200,0.2935,-0.1856,0.0148,1,1.63,0.042,0.280,0.038,,0.0000,-0.1721,1.7656,-0.2983,-0.1895,-0.1200,0.2967,0.1934,0.0147,1,1.68,0.042,0.256,0.000,,-0.0000,-0.1721,1.7656,-0.2983,0.1895,-0.1200
0.199,40,placemove,0.5935,0.0013,0.1346,-0.0002,0.0006,-0.0087,-0.0003,-0.0004,0.0011,0.0020,-0.0037,-0.0010,0.000,0.000,-0.0003,0.0008,-0.0002,0.0006,-0.0087,0.1200,0,0.8055,-0.2739,0.0145,1,2.51,0.394,0.421,0.031,,-0.5236,-0.1721,1.7656,0.2145,-0.2733,-0.1200,0.8103,0.2728,0.0144,1,2.57,0.349,0.393,0.013,,0.5235,-0.1721,1.7656,0.2145,0.2733,-0.1200,0.5904,-0.3427,0.0147,1,2.13,0.268,0.302,0.036,,-0.0000,-0.1721,1.7656,-0.0000,-0.3440,-0.1200,0.5964,0.3453,0.0145,1,2.20,0.255,0.326,0.022,,0.0000,-0.1721,1.7656,-0.0000,0.3440,-0.1200,0.2935,-0.1856,0.0148,1,1.59,0.057,0.280,0.044,,0.0000,-0.1721,1.7656,-0.2983,-0.1895,-0.1200,0.2967,0.1934,0.0147,1,1.64,0.047,0.257,0.010,,0.0000,-0.1721,1.7656,-0.2983,0.1895,-0.1200
