# SLARC V8.23-climbraise | rise=0.150 run=0.280 | balance=AN foothold=AN freeze=AUS entry=AN | G_Z=-0.120 G_STEP=0.060
t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,est_roll,est_pitch,est_yaw,est_height,frozen,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_force,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_right_th_c,front_right_th_f,front_right_th_t,front_right_rfx,front_right_rfy,front_right_rfz,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_force,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,front_left_th_c,front_left_th_f,front_left_th_t,front_left_rfx,front_left_rfy,front_left_rfz,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_force,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_right_th_c,mid_right_th_f,mid_right_th_t,mid_right_rfx,mid_right_rfy,mid_right_rfz,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_force,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,mid_left_th_c,mid_left_th_f,mid_left_th_t,mid_left_rfx,mid_left_rfy,mid_left_rfz,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_force,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_right_th_c,rear_right_th_f,rear_right_th_t,rear_right_rfx,rear_right_rfy,rear_right_rfz,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_force,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state,rear_left_th_c,rear_left_th_f,rear_left_th_t,rear_left_rfx,rear_left_rfy,rear_left_rfz
0.000,4,placemove,0.6128,-0.0029,0.1327,-0.0001,0.0019,0.0124,0.0292,0.0022,0.0087,0.0016,-0.0213,0.0017,0.000,0.000,-0.0002,0.0036,-0.0001,0.0019,0.0124,0.1185,0,0.9163,-0.2066,0.0138,1,1.67,0.363,0.198,0.116,,-0.0667,-0.1803,1.6889,0.3006,-0.2094,-0.1183,0.9116,0.2085,0.0138,1,1.57,0.347,0.185,0.109,,0.0667,-0.1805,1.6859,0.3010,0.2097,-0.1183,0.6169,-0.3584,0.0142,1,2.65,0.201,0.217,0.303,,0.0000,-0.1792,1.6911,0.0000,-0.3560,-0.1185,0.6081,0.3527,0.0141,1,2.81,0.188,0.211,0.341,,0.0000,-0.1795,1.6908,-0.0000,0.3561,-0.1185,0.3058,-0.2024,0.0147,1,1.69,0.110,0.121,0.215,,0.0000,-0.1786,1.6843,-0.3096,-0.1960,-0.1186,0.3007,0.1892,0.0147,1,1.61,0.104,0.116,0.203,,-0.0000,-0.1789,1.6825,-0.3098,0.1961,-0.1185
0.022,8,placemove,0.6134,-0.0028,0.1328,-0.0001,0.0016,0.0124,0.0388,0.0013,0.0024,0.0015,-0.0169,0.0003,0.000,0.000,-0.0001,0.0033,-0.0001,0.0016,0.0124,0.1185,0,0.9108,-0.2220,0.0140,1,1.85,0.399,0.233,0.101,,-0.1333,-0.1785,1.6633,0.2941,-0.2247,-0.1184,0.9056,0.2238,0.0139,1,1.86,0.401,0.237,0.097,,0.1333,-0.1787,1.6610,0.2944,0.2249,-0.1183,0.6175,-0.3622,0.0143,1,2.43,0.243,0.220,0.244,,-0.0000,-0.1777,1.6651,-0.0000,-0.3597,-0.1185,0.6086,0.3565,0.0142,1,2.51,0.237,0.210,0.270,,0.0000,-0.1779,1.6649,-0.0000,0.3598,-0.1185,0.3033,-0.2043,0.0147,1,1.84,0.134,0.141,0.212,,0.0000,-0.1772,1.6598,-0.3126,-0.1977,-0.1186,0.2982,0.1909,0.0148,1,1.81,0.141,0.142,0.205,,-0.0000,-0.1774,1.6584,-0.3128,0.1979,-0.1185
0.044,12,placemove,0.6141,-0.0028,0.1328,-0.0001,0.0014,0.0124,0.0473,0.0004,-0.0007,0.0014,-0.0135,-0.0002,0.000,0.000,-0.0001,0.0027,-0.0001,0.0014,0.0124,0.1184,0,0.9037,-0.2367,0.0141,1,1.99,0.430,0.266,0.080,,-0.2000,-0.1771,1.6433,0.2858,-0.2391,-0.1183,0.8980,0.2383,0.0141,1,2.03,0.439,0.277,0.076,,0.2000,-0.1772,1.6415,0.2860,0.2393,-0.1183,0.6183,-0.3651,0.0143,1,2.35,0.289,0.238,0.196,,-0.0000,-0.1765,1.6447,-0.0000,-0.3626,-0.1185,0.6093,0.3595,0.0143,1,2.37,0.288,0.226,0.213,,0.0000,-0.1766,1.6446,-0.0000,0.3627,-0.1185,0.3016,-0.2057,0.0148,1,1.88,0.144,0.153,0.197,,0.0000,-0.1761,1.6405,-0.3150,-0.1991,-0.1185,0.2965,0.1923,0.0148,1,1.89,0.154,0.157,0.194,,-0.0000,-0.1762,1.6394,-0.3151,0.1992,-0.1185
0.065,16,placemove,0.6149,-0.0028,0.1328,-0.0001,0.0012,0.0124,0.0529,-0.0001,-0.0021,0.0011,-0.0109,0.0000,0.000,0.000,-0.0001,0.0022,-0.0001,0.0012,0.0124,0.1183,0,0.8951,-0.2504,0.0142,1,2.09,0.377,0.299,0.056,,-0.2662,-0.1760,1.6276,0.2761,-0.2526,-0.1183,0.8890,0.2518,0.0142,1,2.16,0.390,0.315,0.050,,0.2662,-0.1761,1.6262,0.2763,0.2528,-0.1182,0.6192,-0.3675,0.0144,1,2.28,0.307,0.258,0.153,,-0.0000,-0.1755,1.6287,-0.0000,-0.3649,-0.1184,0.6102,0.3618,0.0143,1,2.28,0.316,0.244,0.166,,0.0000,-0.1756,1.6286,-0.0000,0.3649,-0.1184,0.3006,-0.2068,0.0148,1,1.88,0.163,0.165,0.178,,-0.0000,-0.1752,1.6254,-0.3168,-0.2002,-0.1184,0.2955,0.1934,0.0148,1,1.90,0.170,0.169,0.176,,0.0000,-0.1753,1.6246,-0.3169,0.2003,-0.1184
0.087,20,placemove,0.6158,-0.0028,0.1327,-0.0001,0.0010,0.0124,0.0520,-0.0004,-0.0025,0.0010,-0.0091,0.0000,0.000,0.000,-0.0001,0.0018,-0.0001,0.0010,0.0124,0.1183,0,0.8869,-0.2618,0.0142,1,2.19,0.395,0.326,0.041,,-0.3219,-0.1752,1.6153,0.2671,-0.2635,-0.1182,0.8806,0.2629,0.0142,1,2.25,0.406,0.341,0.034,,0.3218,-0.1752,1.6142,0.2672,0.2636,-0.1182,0.6201,-0.3693,0.0144,1,2.22,0.317,0.267,0.122,,-0.0000,-0.1748,1.6162,-0.0000,-0.3667,-0.1183,0.6110,0.3636,0.0144,1,2.21,0.323,0.255,0.133,,0.0000,-0.1749,1.6161,-0.0000,0.3667,-0.1183,0.3000,-0.2077,0.0147,1,1.89,0.186,0.178,0.159,,-0.0000,-0.1745,1.6136,-0.3183,-0.2010,-0.1183,0.2949,0.1942,0.0148,1,1.90,0.191,0.183,0.157,,0.0000,-0.1746,1.6129,-0.3184,0.2011,-0.1183
0.109,24,placemove,0.6167,-0.0028,0.1327,-0.0001,0.0009,0.0124,0.0505,-0.0003,-0.0024,0.0008,-0.0076,0.0000,0.000,0.000,-0.0001,0.0014,-0.0001,0.0009,0.0124,0.1182,0,0.8802,-0.2703,0.0143,1,2.27,0.409,0.348,0.028,,-0.3655,-0.1745,1.6057,0.2596,-0.2716,-0.1182,0.8736,0.2712,0.0143,1,2.32,0.419,0.364,0.020,,0.3655,-0.1745,1.6048,0.2596,0.2717,-0.1181,0.6210,-0.3707,0.0145,1,2.18,0.326,0.278,0.097,,-0.0000,-0.1742,1.6064,-0.0000,-0.3681,-0.1182,0.6119,0.3651,0.0144,1,2.16,0.329,0.265,0.107,,0.0000,-0.1743,1.6063,-0.0000,0.3681,-0.1182,0.2997,-0.2084,0.0147,1,1.86,0.206,0.190,0.136,,-0.0000,-0.1740,1.6043,-0.3194,-0.2017,-0.1182,0.2946,0.1948,0.0147,1,1.88,0.214,0.196,0.133,,0.0000,-0.1741,1.6038,-0.3195,0.2017,-0.1182
0.131,28,placemove,0.6175,-0.0028,0.1326,-0.0000,0.0008,0.0124,0.0472,-0.0001,-0.0021,0.0006,-0.0062,0.0000,0.000,0.000,-0.0001,0.0012,-0.0000,0.0008,0.0124,0.1181,0,0.8748,-0.2768,0.0144,1,2.34,0.422,0.368,0.017,,-0.3997,-0.1740,1.5982,0.2534,-0.2778,-0.1181,0.8680,0.2775,0.0144,1,2.38,0.430,0.381,0.009,,0.3997,-0.1740,1.5975,0.2534,0.2779,-0.1181,0.6219,-0.3719,0.0145,1,2.16,0.335,0.289,0.078,,-0.0001,-0.1737,1.5987,-0.0000,-0.3692,-0.1182,0.6127,0.3662,0.0145,1,2.14,0.330,0.276,0.086,,0.0000,-0.1738,1.5986,-0.0000,0.3692,-0.1181,0.2996,-0.2089,0.0147,1,1.81,0.226,0.201,0.110,,-0.0000,-0.1736,1.5971,-0.3203,-0.2022,-0.1182,0.2945,0.1953,0.0147,1,1.84,0.234,0.212,0.102,,0.0000,-0.1736,1.5967,-0.3204,0.2022,-0.1181
0.153,32,placemove,0.6182,-0.0028,0.1326,-0.0000,0.0007,0.0124,0.0417,0.0002,-0.0018,0.0005,-0.0051,0.0000,0.000,0.000,-0.0000,0.0009,-0.0000,0.0007,0.0124,0.1181,0,0.8705,-0.2817,0.0144,1,2.40,0.431,0.383,0.008,,-0.4265,-0.1736,1.5922,0.2484,-0.2825,-0.1180,0.8635,0.2823,0.0144,1,2.43,0.439,0.396,0.000,,0.4265,-0.1736,1.5917,0.2484,0.2826,-0.1180,0.6226,-0.3727,0.0145,1,2.15,0.336,0.296,0.065,,-0.0001,-0.1734,1.5927,-0.0000,-0.3700,-0.1181,0.6135,0.3671,0.0145,1,2.13,0.334,0.283,0.074,,0.0000,-0.1734,1.5926,-0.0000,0.3700,-0.1181,0.2997,-0.2094,0.0147,1,1.78,0.240,0.214,0.083,,-0.0000,-0.1732,1.5914,-0.3210,-0.2026,-0.1181,0.2946,0.1957,0.0147,1,1.79,0.248,0.222,0.077,,0.0000,-0.1733,1.5911,-0.3210,0.2026,-0.1181
0.175,36,placemove,0.6189,-0.0028,0.1326,-0.0000,0.0006,0.0124,0.0352,0.0005,-0.0014,0.0004,-0.0042,0.0000,0.000,0.000,-0.0000,0.0008,-0.0000,0.0006,0.0124,0.1180,0,0.8670,-0.2855,0.0144,1,2.43,0.438,0.394,0.000,,-0.4475,-0.1732,1.5876,0.2443,-0.2861,-0.1180,0.8600,0.2859,0.0144,1,2.46,0.444,0.406,0.007,,0.4475,-0.1733,1.5872,0.2444,0.2862,-0.1180,0.6233,-0.3734,0.0146,1,2.14,0.338,0.301,0.056,,-0.0001,-0.1731,1.5879,-0.0000,-0.3707,-0.1180,0.6141,0.3677,0.0145,1,2.13,0.337,0.289,0.066,,0.0000,-0.1731,1.5879,-0.0000,0.3707,-0.1180,0.2998,-0.2097,0.0147,1,1.75,0.247,0.223,0.064,,-0.0000,-0.1730,1.5869,-0.3215,-0.2029,-0.1180,0.2947,0.1960,0.0147,1,1.76,0.254,0.229,0.060,,0.0000,-0.1730,1.5867,-0.3216,0.2029,-0.1180
0.197,40,placemove,0.6194,-0.0028,0.1326,-0.0000,0.0005,0.0124,0.0285,0.0007,-0.0011,0.0003,-0.0035,0.0000,0.000,0.000,-0.0000,0.0007,-0.0000,0.0005,0.0124,0.1180,0,0.8643,-0.2884,0.0145,1,2.45,0.441,0.402,0.006,,-0.4640,-0.1730,1.5840,0.2411,-0.2889,-0.1180,0.8572,0.2888,0.0145,1,2.48,0.447,0.412,0.013,,0.4639,-0.1730,1.5836,0.2412,0.2889,-0.1180,0.6238,-0.3739,0.0146,1,2.14,0.339,0.304,0.050,,-0.0001,-0.1729,1.5842,-0.0000,-0.3712,-0.1180,0.6146,0.3683,0.0146,1,2.14,0.337,0.292,0.062,,0.0000,-0.1729,1.5842,-0.0000,0.3712,-0.1180,0.2999,-0.2099,0.0148,1,1.73,0.249,0.227,0.054,,-0.0000,-0.1728,1.5835,-0.3220,-0.2032,-0.1180,0.2948,0.1963,0.0148,1,1.74,0.255,0.231,0.051,,0.0000,-0.1728,1.5833,-0.3220,0.2032,-0.1180
